Time_Acc,Acc_x,Acc_y,Acc_z,Time_Gra,Gra_x,Gra_y,Gra_z,Time_Gyr,Gyr_x,Gyr_y,Gyr_z,Time_Light,Light,Time_LAcc,LAcc_x,LAcc_y,LAcc_z,Time_Mag,Mag_x,Mag_y,Mag_z,Time_Pres,Pres,Time_Prox,Prox,Time_ReHum,ReHum,Time_Rov,Rov_w,Rov_x,Rov_y,Rov_z,Time_SteCou,SteCou,Time_TSD,TSD_value,id,scenario,behavior,class
1510572034007.0,-0.4161682,0.00039672852,9.407654,1510572033967.0,-0.20594639,0.016464563,9.804474,1510572033961.0,-0.00065612793,-0.0021514893,-0.0006713867,1510572034092.0,7.0,1510572033968.0,-0.21916911,-0.0143197365,-0.05119133,1510572033987.0,-23.52295,12.002563,-40.968323,1510572033976.0,1015.4819,0,0,0,0,1510572033968.0,0.00826233,0.006535145,-0.7323441,0.68085325,0,0,0,0,0,0,0,0
1510572034112.0,-0.42495728,-0.011062622,9.483917,1510572034094.0,-0.2515039,0.0073797926,9.803422,1510572034093.0,-0.00065612793,-1.5258789e-05,-0.001739502,1510572034897.0,8.0,1510572034095.0,-0.18953802,-0.03412363,-0.037651062,1510572034122.0,-24.732971,12.863159,-41.809082,1510572034113.0,1015.4919,0,0,0,0,1510572034095.0,0.009390186,0.008742183,-0.71155065,0.7025176,0,0,0,0,0,0,0,0
1510572034207.0,-0.41822815,-0.016723633,9.454193,1510572034223.0,-0.2906109,0.00087614445,9.802343,1510572034222.0,-0.00065612793,0.0021209717,0.00039672852,1510572035098.0,7.0,1510572034224.0,-0.14221779,-0.03261385,-0.032569885,1510572034247.0,-24.386597,12.519836,-40.463257,1510572034244.0,1015.4919,0,0,0,0,1510572034224.0,0.010296936,0.010656818,-0.6926124,0.7211577,0,0,0,0,0,0,0,0
1510572034310.0,-0.4400177,0.0006713867,9.491547,1510572034354.0,-0.32372513,-0.0003576285,9.801306,1510572034352.0,0.0004119873,-1.5258789e-05,-0.001739502,1510572035198.0,8.0,1510572034355.0,-0.13630944,0.0042818743,0.05186367,1510572034382.0,-24.386597,12.519836,-42.481995,1510572034381.0,1015.50183,0,0,0,0,1510572034356.0,0.011137154,0.012184671,-0.67538935,0.73727655,0,0,0,0,0,0,0,0
1510572034408.0,-0.43441772,-0.0024414063,9.487976,1510572034505.0,-0.34512916,-0.0027447145,9.800574,1510572034504.0,-0.00065612793,-1.5258789e-05,0.00039672852,1510572035501.0,7.0,1510572034505.0,-0.06320375,-0.0005550727,0.024029732,1510572034509.0,-24.732971,13.897705,-41.13617,1510572034505.0,1015.4919,0,0,0,0,1510572034506.0,0.0115044825,0.013319382,-0.6595602,0.75144565,0,0,0,0,0,0,0,0
1510572034603.0,-0.41299438,-0.015106201,9.424301,1510572034613.0,-0.3606104,-0.004571545,9.800016,1510572034613.0,0.0004119873,0.0010528564,-0.0006713867,1510572035611.0,8.0,1510572034614.0,-0.064961076,-0.0106941,-0.03391838,1510572034638.0,-25.250244,12.347412,-40.631104,1510572034632.0,1015.4919,0,0,0,0,1510572034615.0,0.011690013,0.014197106,-0.645277,0.7637273,0,0,0,0,0,0,0,0
1510572034733.0,-0.4034729,-0.015106201,9.412399,1510572034745.0,-0.3729566,-0.0056204703,9.799554,1510572034743.0,0.0004119873,-0.001083374,-0.0028076172,1510572035703.0,7.0,1510572034745.0,-0.0438461,-0.009686612,-0.036910057,1510572034769.0,-25.250244,12.690735,-41.304016,1510572034763.0,1015.4919,0,0,0,0,1510572034746.0,0.01186072,0.014870286,-0.63515043,0.7721542,0,0,0,0,0,0,0,0
1510572034864.0,-0.46298218,0.0015563965,9.421921,1510572034874.0,-0.38975036,-0.006727567,9.7989,1510572034873.0,-0.0017242432,-1.5258789e-05,-0.0006713867,1510572035803.0,8.0,1510572034882.0,-0.08742961,0.0080388915,-0.020025253,1510572034898.0,-24.559021,12.690735,-40.968323,1510572034896.0,1015.4919,0,0,0,0,1510572034882.0,0.012146425,0.015736077,-0.6244771,0.78079015,0,0,0,0,0,0,0,0
1510572034994.0,-0.41537476,-0.022247314,9.471909,1510572035006.0,-0.39909175,-0.01077648,9.79852,1510572035004.0,-0.00065612793,-0.001083374,-0.0006713867,1510572036004.0,7.0,1510572035007.0,-0.030597508,-0.0118573615,0.024838448,1510572035029.0,-24.214172,12.690735,-41.304016,1510572035019.0,1015.4819,0,0,0,0,1510572035007.0,0.012113691,0.0163638,-0.6163356,0.78722036,0,0,0,0,0,0,0,0
1510572035124.0,-0.40585327,-0.022247314,9.395737,1510572035137.0,-0.40258932,-0.010153943,9.798378,1510572035134.0,0.0004119873,0.0010528564,-0.001739502,1510572036107.0,8.0,1510572035137.0,-0.018054008,-0.0124664,-0.04267502,1510572035160.0,-24.386597,11.830139,-41.13617,1510572035149.0,1015.4919,0,0,0,0,1510572035137.0,0.012090306,0.016601238,-0.60876846,0.79308206,0,0,0,0,0,0,0,0
