ID,汉字,笔顺,UNicode,GB,笔画数
1,一,1,U+4E00,D2BB,1
2,丨,2,U+4E28,D8AD,1
3,亅,2,U+4E85,817C,1
4,丿,3,U+4E3F,D8AF,1
5,丶,4,U+4E36,D8BC,1
6,乁,4,U+4E41,8155,1
7,乀,4,U+4E40,8154,1
8,乛,5,U+4E5B,815E,1
9,乚,5,U+4E5A,815D,1
10,乙,5,U+4E59,D2D2,1
11,二,11,U+4E8C,B6FE,2
12,丅,12,U+4E05,8142,2
13,十,12,U+5341,CAAE,2
14,丁,12,U+4E01,B6A1,2
15,厂,13,U+5382,B3A7,2
16,丆,13,U+4E06,8143,2
17,匚,15,U+531A,D8CE,2
18,匸,15,U+5338,855B,2
19,七,15,U+4E03,C6DF,2
20,丂,15,U+4E02,8140,2
21,丄,21,U+4E04,8141,2
22,刂,22,U+5202,D8D6,2
23,卜,24,U+535C,B2B7,2
24,冂,25,U+5182,D8E7,2
25,亻,32,U+4EBB,D8E9,2
26,八,34,U+516B,B0CB,2
27,人,34,U+4EBA,C8CB,2
28,入,34,U+5165,C8EB,2
29,乂,34,U+4E42,8156,2
30,勹,35,U+52F9,D9E8,2
31,儿,35,U+513F,B6F9,2
32,匕,35,U+5315,D8B0,2
33,几,35,U+51E0,BCB8,2
34,九,35,U+4E5D,BEC5,2
35,亠,41,U+4EA0,D9EF,2
36,冫,41,U+51AB,D9FB,2
37,丷,43,U+4E37,8152,2
38,冖,45,U+5196,DAA2,2
39,讠,45,U+8BA0,DAA5,2
40,刁,51,U+5201,B5F3,2
41,了,52,U+4E86,C1CB,2
42,凵,52,U+51F5,DBC9,2
43,丩,52,U+4E29,814C,2
44,卩,52,U+5369,DAE0,2
45,阝,52,U+961D,DAE2,2
46,刀,53,U+5200,B5B6,2
47,力,53,U+529B,C1A6,2
48,乃,53,U+4E43,C4CB,2
49,又,54,U+53C8,D3D6,2
50,厶,54,U+53B6,DBCC,2
51,乄,54,U+4E44,8157,2
52,廴,54,U+5EF4,DBC8,2
53,巜,55,U+5DDC,8E77,2
54,乜,55,U+4E5C,D8BF,2
55,三,111,U+4E09,C8FD,3
56,干,112,U+5E72,B8C9,3
57,亍,112,U+4E8D,D8A1,3
58,于,112,U+4E8E,D3DA,3
59,亏,115,U+4E8F,BFF7,3
60,亐,115,U+4E90,8180,3
61,工,121,U+5DE5,B9A4,3
62,土,121,U+571F,CDC1,3
63,士,121,U+58EB,CABF,3
64,扌,121,U+624C,DED0,3
65,艹,122,U+8279,DCB3,3
66,卄,122,U+5344,8560,3
67,才,123,U+624D,B2C5,3
68,下,124,U+4E0B,CFC2,3
69,寸,124,U+5BF8,B4E7,3
70,丌,132,U+4E0C,D8A2,3
71,廾,132,U+5EFE,DEC3,3
72,大,134,U+5927,B4F3,3
73,丈,134,U+4E08,D5C9,3
74,兀,135,U+5140,D8A3,3
75,尢,135,U+5C22,DECC,3
76,与,151,U+4E0E,D3EB,3
77,万,153,U+4E07,CDF2,3
78,弋,154,U+5F0B,DFAE,3
79,夨,154,U+5928,89F7,3
80,上,211,U+4E0A,C9CF,3
81,小,234,U+5C0F,D0A1,3
82,凣,235,U+51E3,8447,3
83,口,251,U+53E3,BFDA,3
84,囗,251,U+56D7,E0ED,3
85,山,252,U+5C71,C9BD,3
86,巾,252,U+5DFE,BDED,3
87,千,312,U+5343,C7A7,3
88,乇,315,U+4E47,D8B1,3
89,乞,315,U+4E5E,C6F2,3
90,川,322,U+5DDD,B4A8,3
91,亿,325,U+4EBF,D2DA,3
92,彳,332,U+5F73,E1DC,3
93,彡,333,U+5F61,E1EA,3
94,凢,335,U+51E2,8446,3
95,亼,341,U+4EBC,8191,3
96,个,342,U+4E2A,B8F6,3
97,乊,343,U+4E4A,8159,3
98,亽,344,U+4EBD,8192,3
99,亾,345,U+4EBE,8193,3
100,兦,345,U+5166,83C7,3
101,亇,352,U+4E87,817D,3
102,犭,353,U+72AD,E1EB,3
103,夕,354,U+5915,CFA6,3
104,久,354,U+4E45,BEC3,3
