Time,event_type,op_x,op_y,Action,correct_x,correct_y,slidebarleft_x,slidebarleft_y,slidebarright_x,slidebarright_y,Session_Id,Bot,Unnamed: 13,scenario,terminal
1516606453512,2,38,263,-,273.0,93.0,15.0,232.0,51.0,268.0,1516606452450.0,0.0,,1.0,1.0
1516606453577,1,41,263,-,,,,,,,,,,,
1516606453593,1,45,263,-,,,,,,,,,,,
1516606453610,1,50,263,-,,,,,,,,,,,
1516606453626,1,57,263,-,,,,,,,,,,,
1516606453643,1,64,263,-,,,,,,,,,,,
1516606453659,1,70,263,-,,,,,,,,,,,
1516606453676,1,77,263,-,,,,,,,,,,,
1516606453692,1,84,263,-,,,,,,,,,,,
1516606453709,1,91,263,-,,,,,,,,,,,
1516606453726,1,97,263,-,,,,,,,,,,,
1516606453742,1,101,263,-,,,,,,,,,,,
1516606453759,1,106,263,-,,,,,,,,,,,
1516606453776,1,109,263,-,,,,,,,,,,,
1516606453792,1,112,263,-,,,,,,,,,,,
1516606453810,1,115,263,-,,,,,,,,,,,
1516606453826,1,118,263,-,,,,,,,,,,,
1516606453843,1,120,263,-,,,,,,,,,,,
1516606453859,1,122,263,-,,,,,,,,,,,
1516606453876,1,123,263,-,,,,,,,,,,,
1516606453892,1,126,263,-,,,,,,,,,,,
1516606453909,1,128,263,-,,,,,,,,,,,
1516606453926,1,130,263,-,,,,,,,,,,,
1516606453943,1,132,263,-,,,,,,,,,,,
1516606453959,1,134,263,-,,,,,,,,,,,
1516606453976,1,136,263,-,,,,,,,,,,,
1516606453993,1,138,263,-,,,,,,,,,,,
1516606454009,1,140,263,-,,,,,,,,,,,
1516606454026,1,142,263,-,,,,,,,,,,,
1516606454043,1,143,263,-,,,,,,,,,,,
1516606454060,1,145,263,-,,,,,,,,,,,
1516606454076,1,147,262,-,,,,,,,,,,,
1516606454093,1,149,262,-,,,,,,,,,,,
1516606454109,1,150,261,-,,,,,,,,,,,
1516606454126,1,153,261,-,,,,,,,,,,,
1516606454143,1,155,261,-,,,,,,,,,,,
1516606454160,1,158,260,-,,,,,,,,,,,
1516606454176,1,161,260,-,,,,,,,,,,,
1516606454193,1,163,260,-,,,,,,,,,,,
1516606454210,1,165,260,-,,,,,,,,,,,
1516606454226,1,166,260,-,,,,,,,,,,,
1516606454243,1,167,260,-,,,,,,,,,,,
1516606454360,1,168,260,-,,,,,,,,,,,
1516606454496,1,169,260,-,,,,,,,,,,,
1516606454544,1,170,260,-,,,,,,,,,,,
1516606454595,1,171,260,-,,,,,,,,,,,
1516606454678,1,172,260,-,,,,,,,,,,,
1516606454696,1,173,260,-,,,,,,,,,,,
1516606454713,1,174,260,-,,,,,,,,,,,
1516606454729,1,177,260,-,,,,,,,,,,,
1516606454749,1,180,260,-,,,,,,,,,,,
1516606454761,1,183,260,-,,,,,,,,,,,
1516606454778,1,186,260,-,,,,,,,,,,,
1516606454795,1,190,260,-,,,,,,,,,,,
1516606454813,1,194,260,-,,,,,,,,,,,
1516606454828,1,198,260,-,,,,,,,,,,,
1516606454846,1,203,260,-,,,,,,,,,,,
1516606454861,1,208,260,-,,,,,,,,,,,
1516606454878,1,212,260,-,,,,,,,,,,,
1516606454895,1,216,260,-,,,,,,,,,,,
1516606454911,1,220,260,-,,,,,,,,,,,
1516606454929,1,224,260,-,,,,,,,,,,,
1516606454946,1,228,260,-,,,,,,,,,,,
1516606454963,1,231,260,-,,,,,,,,,,,
1516606454978,1,234,260,-,,,,,,,,,,,
1516606454995,1,237,260,-,,,,,,,,,,,
1516606455012,1,239,260,-,,,,,,,,,,,
1516606455028,1,241,260,-,,,,,,,,,,,
1516606455045,1,243,260,-,,,,,,,,,,,
1516606455061,1,244,260,-,,,,,,,,,,,
1516606455078,1,246,260,-,,,,,,,,,,,
1516606455095,1,247,260,-,,,,,,,,,,,
1516606455128,1,248,260,-,,,,,,,,,,,
1516606455161,1,249,259,-,,,,,,,,,,,
1516606455229,1,250,259,-,,,,,,,,,,,
1516606455279,1,251,259,-,,,,,,,,,,,
1516606455328,1,252,259,-,,,,,,,,,,,
1516606455352,1,252,258,-,,,,,,,,,,,
1516606455378,1,253,258,-,,,,,,,,,,,
1516606455410,1,253,257,-,,,,,,,,,,,
1516606455426,1,254,257,-,,,,,,,,,,,
1516606455444,1,255,257,-,,,,,,,,,,,
1516606455476,1,256,256,-,,,,,,,,,,,
1516606455510,1,257,256,-,,,,,,,,,,,
1516606455913,1,256,256,-,,,,,,,,,,,
1516606455997,1,256,255,-,,,,,,,,,,,
1516606456054,1,255,255,-,,,,,,,,,,,
1516606456094,1,254,255,-,,,,,,,,,,,
1516606456362,1,254,254,-,,,,,,,,,,,
1516606456389,3,254,254,13,,,,,,,,,,,
