Action,event_type,Time,op_x,op_y,correct_x,correct_y,slidebarright_x,slidebarright_y,slidebarleft_x,slidebarleft_y,scenario,terminal,Bot
0,2,1527580416487,36,247,176,81,57,269,15,229,1,1,1
0,1,1527580416652,48,247,176,81,57,269,15,229,1,1,1
0,1,1527580416688,51,247,176,81,57,269,15,229,1,1,1
0,1,1527580416751,55,247,176,81,57,269,15,229,1,1,1
0,1,1527580416786,58,247,176,81,57,269,15,229,1,1,1
0,1,1527580416829,61,247,176,81,57,269,15,229,1,1,1
0,1,1527580416868,65,247,176,81,57,269,15,229,1,1,1
0,1,1527580416934,69,247,176,81,57,269,15,229,1,1,1
0,1,1527580416980,72,247,176,81,57,269,15,229,1,1,1
0,1,1527580417016,76,247,176,81,57,269,15,229,1,1,1
0,1,1527580417052,79,247,176,81,57,269,15,229,1,1,1
0,1,1527580417101,83,247,176,81,57,269,15,229,1,1,1
0,1,1527580417132,86,247,176,81,57,269,15,229,1,1,1
0,1,1527580417166,89,247,176,81,57,269,15,229,1,1,1
0,1,1527580417199,93,247,176,81,57,269,15,229,1,1,1
0,1,1527580417246,97,247,176,81,57,269,15,229,1,1,1
0,1,1527580417280,100,247,176,81,57,269,15,229,1,1,1
0,1,1527580417318,103,247,176,81,57,269,15,229,1,1,1
0,1,1527580417348,107,247,176,81,57,269,15,229,1,1,1
0,1,1527580417378,110,247,176,81,57,269,15,229,1,1,1
0,1,1527580417413,114,247,176,81,57,269,15,229,1,1,1
0,1,1527580417447,117,247,176,81,57,269,15,229,1,1,1
0,1,1527580417481,121,247,176,81,57,269,15,229,1,1,1
0,1,1527580417510,124,247,176,81,57,269,15,229,1,1,1
0,1,1527580417545,128,247,176,81,57,269,15,229,1,1,1
0,1,1527580417579,131,247,176,81,57,269,15,229,1,1,1
0,1,1527580417613,135,247,176,81,57,269,15,229,1,1,1
0,1,1527580417643,138,247,176,81,57,269,15,229,1,1,1
0,1,1527580417678,142,247,176,81,57,269,15,229,1,1,1
0,1,1527580417745,146,247,176,81,57,269,15,229,1,1,1
0,1,1527580417759,149,247,176,81,57,269,15,229,1,1,1
0,1,1527580417794,153,247,176,81,57,269,15,229,1,1,1
0,1,1527580417826,156,247,176,81,57,269,15,229,1,1,1
0,1,1527580417860,159,247,176,81,57,269,15,229,1,1,1
0,1,1527580417907,163,247,176,81,57,269,15,229,1,1,1
0,1,1527580417942,166,247,176,81,57,269,15,229,1,1,1
0,1,1527580417974,170,247,176,81,57,269,15,229,1,1,1
0,1,1527580418008,173,247,176,81,57,269,15,229,1,1,1
0,1,1527580418041,177,247,176,81,57,269,15,229,1,1,1
0,1,1527580418074,180,247,176,81,57,269,15,229,1,1,1
0,1,1527580418107,184,247,176,81,57,269,15,229,1,1,1
0,1,1527580418154,188,247,176,81,57,269,15,229,1,1,1
0,1,1527580418190,191,247,176,81,57,269,15,229,1,1,1
0,1,1527580418222,194,247,176,81,57,269,15,229,1,1,1
13,3,1527580418251,194,247,176,81,57,269,15,229,1,1,1
