Action,event_type,Time,op_x,op_y,correct_x,correct_y,slidebarright_x,slidebarright_y,slidebarleft_x,slidebarleft_y,scenario,terminal,Bot
0,2,1526198248110,42,396,248,284,62,417,20,377,1,1,1
0,1,1526198248180,53,399,248,284,62,417,20,377,1,1,1
0,1,1526198248182,53,399,248,284,62,417,20,377,1,1,1
0,1,1526198248209,57,401,248,284,62,417,20,377,1,1,1
0,1,1526198248210,57,401,248,284,62,417,20,377,1,1,1
0,1,1526198248241,61,405,248,284,62,417,20,377,1,1,1
0,1,1526198248244,61,405,248,284,62,417,20,377,1,1,1
0,1,1526198248280,64,407,248,284,62,417,20,377,1,1,1
0,1,1526198248284,64,407,248,284,62,417,20,377,1,1,1
0,1,1526198248309,67,407,248,284,62,417,20,377,1,1,1
0,1,1526198248312,67,407,248,284,62,417,20,377,1,1,1
0,1,1526198248349,72,406,248,284,62,417,20,377,1,1,1
0,1,1526198248351,72,406,248,284,62,417,20,377,1,1,1
0,1,1526198248365,74,406,248,284,62,417,20,377,1,1,1
0,1,1526198248368,74,406,248,284,62,417,20,377,1,1,1
0,1,1526198248382,77,406,248,284,62,417,20,377,1,1,1
0,1,1526198248385,77,406,248,284,62,417,20,377,1,1,1
0,1,1526198248401,78,406,248,284,62,417,20,377,1,1,1
0,1,1526198248405,78,406,248,284,62,417,20,377,1,1,1
0,1,1526198248419,79,406,248,284,62,417,20,377,1,1,1
0,1,1526198248422,79,406,248,284,62,417,20,377,1,1,1
0,1,1526198248439,80,406,248,284,62,417,20,377,1,1,1
0,1,1526198248442,80,406,248,284,62,417,20,377,1,1,1
0,1,1526198248463,81,406,248,284,62,417,20,377,1,1,1
0,1,1526198248465,81,406,248,284,62,417,20,377,1,1,1
0,1,1526198248483,81,406,248,284,62,417,20,377,1,1,1
0,1,1526198248486,81,406,248,284,62,417,20,377,1,1,1
0,1,1526198248502,82,406,248,284,62,417,20,377,1,1,1
0,1,1526198248505,82,406,248,284,62,417,20,377,1,1,1
0,1,1526198248544,82,405,248,284,62,417,20,377,1,1,1
0,1,1526198248547,82,405,248,284,62,417,20,377,1,1,1
0,1,1526198248571,83,406,248,284,62,417,20,377,1,1,1
0,1,1526198248573,83,406,248,284,62,417,20,377,1,1,1
0,1,1526198248646,84,406,248,284,62,417,20,377,1,1,1
0,1,1526198248648,84,406,248,284,62,417,20,377,1,1,1
