Action,event_type,Time,op_x,op_y,correct_x,correct_y,slidebarright_x,slidebarright_y,slidebarleft_x,slidebarleft_y,scenario,terminal,Bot
0,2,1527843760857,31,247,224,149,57,272,15,232,1,1,1
0,1,1527843760982,52,247,224,149,57,272,15,232,1,1,1
0,1,1527843761199,71,247,224,149,57,272,15,232,1,1,1
0,1,1527843761386,90,247,224,149,57,272,15,232,1,1,1
0,1,1527843761569,109,247,224,149,57,272,15,232,1,1,1
0,1,1527843761753,129,247,224,149,57,272,15,232,1,1,1
0,1,1527843761936,148,247,224,149,57,272,15,232,1,1,1
0,1,1527843762120,168,247,224,149,57,272,15,232,1,1,1
0,1,1527843762303,187,247,224,149,57,272,15,232,1,1,1
0,1,1527843762486,207,247,224,149,57,272,15,232,1,1,1
0,1,1527843762653,226,247,224,149,57,272,15,232,1,1,1
0,1,1527843762819,246,247,224,149,57,272,15,232,1,1,1
0,1,1527843763071,245,247,224,149,57,272,15,232,1,1,1
13,3,1527843763257,245,247,224,149,57,272,15,232,1,1,1
