Action,mouse_event_type,Time,op_x,op_y,first_x,first_y,second_x,second_y,scenario,terminal,Bot
0,1,1518079784769,788,336,841,411,576,389,0,0,1
0,1,1518079784786,794,330,841,411,576,389,0,0,1
0,1,1518079784802,801,325,841,411,576,389,0,0,1
0,1,1518079784818,808,318,841,411,576,389,0,0,1
0,1,1518079784836,819,306,841,411,576,389,0,0,1
0,1,1518079784852,826,297,841,411,576,389,0,0,1
0,1,1518079784869,832,290,841,411,576,389,0,0,1
0,1,1518079784885,837,282,841,411,576,389,0,0,1
0,1,1518079784902,841,277,841,411,576,389,0,0,1
0,1,1518079784919,847,270,841,411,576,389,0,0,1
0,1,1518079785170,847,268,841,411,576,389,0,0,1
0,1,1518079785187,841,228,841,411,576,389,0,0,1
0,1,1518079785204,825,161,841,411,576,389,0,0,1
38,1,1518079785219,797,53,841,411,576,389,0,0,1
0,0,1518079785616,797,53,841,411,576,389,0,0,1
0,1,1518079810443,684,414,841,411,576,389,0,0,1
0,1,1518079810538,688,414,841,411,576,389,0,0,1
0,1,1518079810555,696,414,841,411,576,389,0,0,1
0,1,1518079810571,708,416,841,411,576,389,0,0,1
0,1,1518079810588,724,417,841,411,576,389,0,0,1
0,1,1518079810605,736,418,841,411,576,389,0,0,1
0,1,1518079810622,742,418,841,411,576,389,0,0,1
0,1,1518079810638,748,418,841,411,576,389,0,0,1
0,1,1518079810655,752,418,841,411,576,389,0,0,1
0,1,1518079810673,753,418,841,411,576,389,0,0,1
0,1,1518079810688,754,418,841,411,576,389,0,0,1
0,1,1518079810705,754,418,841,411,576,389,0,0,1
0,1,1518079810722,754,417,841,411,576,389,0,0,1
0,1,1518079810739,754,417,841,411,576,389,0,0,1
38,1,1518079810755,755,417,841,411,576,389,0,0,1
0,2,1518079810882,755,417,841,411,576,389,0,0,1
36,3,1518079810886,755,417,841,411,576,389,0,0,1
