Action,mouse_event_type,Time,op_x,op_y,first_x,first_y,second_x,second_y,scenario,terminal,Bot
0,1,1518088556639,1176,170,758,407,493,389,0,0,1
0,1,1518088556697,855,254,758,407,493,389,0,0,1
0,1,1518088556707,814,271,758,407,493,389,0,0,1
0,1,1518088556912,814,271,758,407,493,389,0,0,1
0,1,1518088556916,814,271,758,407,493,389,0,0,1
0,1,1518088556920,811,271,758,407,493,389,0,0,1
0,1,1518088556921,811,271,758,407,493,389,0,0,1
0,1,1518088556930,809,271,758,407,493,389,0,0,1
0,1,1518088556931,809,271,758,407,493,389,0,0,1
0,1,1518088556938,807,272,758,407,493,389,0,0,1
0,1,1518088556939,807,272,758,407,493,389,0,0,1
0,1,1518088556948,804,273,758,407,493,389,0,0,1
0,1,1518088556948,804,273,758,407,493,389,0,0,1
0,1,1518088556953,801,275,758,407,493,389,0,0,1
0,1,1518088556954,801,275,758,407,493,389,0,0,1
0,1,1518088556963,798,276,758,407,493,389,0,0,1
0,1,1518088556964,798,276,758,407,493,389,0,0,1
0,1,1518088556970,791,279,758,407,493,389,0,0,1
0,1,1518088556971,791,279,758,407,493,389,0,0,1
0,1,1518088556978,784,282,758,407,493,389,0,0,1
0,1,1518088556979,784,282,758,407,493,389,0,0,1
0,1,1518088556987,777,286,758,407,493,389,0,0,1
0,1,1518088556988,777,286,758,407,493,389,0,0,1
0,1,1518088556994,769,290,758,407,493,389,0,0,1
0,1,1518088556994,769,290,758,407,493,389,0,0,1
0,1,1518088557002,760,294,758,407,493,389,0,0,1
0,1,1518088557003,760,294,758,407,493,389,0,0,1
0,1,1518088557009,751,298,758,407,493,389,0,0,1
0,1,1518088557009,751,298,758,407,493,389,0,0,1
0,1,1518088557016,741,302,758,407,493,389,0,0,1
0,1,1518088557019,741,302,758,407,493,389,0,0,1
0,1,1518088557025,730,308,758,407,493,389,0,0,1
0,1,1518088557025,730,308,758,407,493,389,0,0,1
0,1,1518088557032,720,313,758,407,493,389,0,0,1
0,1,1518088557037,720,313,758,407,493,389,0,0,1
0,1,1518088557042,711,318,758,407,493,389,0,0,1
0,1,1518088557043,711,318,758,407,493,389,0,0,1
0,1,1518088557048,701,324,758,407,493,389,0,0,1
0,1,1518088557049,701,324,758,407,493,389,0,0,1
0,1,1518088557057,692,330,758,407,493,389,0,0,1
0,1,1518088557058,692,330,758,407,493,389,0,0,1
0,1,1518088557064,683,337,758,407,493,389,0,0,1
0,1,1518088557065,683,337,758,407,493,389,0,0,1
0,1,1518088557073,674,344,758,407,493,389,0,0,1
0,1,1518088557074,674,344,758,407,493,389,0,0,1
0,1,1518088557080,667,350,758,407,493,389,0,0,1
0,1,1518088557081,667,350,758,407,493,389,0,0,1
0,1,1518088557088,664,353,758,407,493,389,0,0,1
0,1,1518088557089,664,353,758,407,493,389,0,0,1
0,1,1518088557096,658,357,758,407,493,389,0,0,1
0,1,1518088557097,658,357,758,407,493,389,0,0,1
0,1,1518088557105,653,362,758,407,493,389,0,0,1
0,1,1518088557106,653,362,758,407,493,389,0,0,1
0,1,1518088557112,649,366,758,407,493,389,0,0,1
0,1,1518088557113,649,366,758,407,493,389,0,0,1
0,1,1518088557121,645,369,758,407,493,389,0,0,1
0,1,1518088557122,645,369,758,407,493,389,0,0,1
0,1,1518088557128,641,372,758,407,493,389,0,0,1
0,1,1518088557128,641,372,758,407,493,389,0,0,1
0,1,1518088557137,638,375,758,407,493,389,0,0,1
0,1,1518088557138,638,375,758,407,493,389,0,0,1
0,1,1518088557144,635,377,758,407,493,389,0,0,1
