Time,key_event_type,dialog_type,mouse_event_type,op_x,op_y,Action,first_x,first_y,second_x,second_y,Session_Id,Bot,Unnamed: 13,scenario,terminal
1515638199689,,,0,0,0,-,479.5,298.875,577.5,336.875,1515638199485.0,0.0,,0.0,0.0
1515638199889,,,0,0,0,-,,,,,,,,,
1515638200089,,,0,0,0,-,,,,,,,,,
1515638200289,,,0,0,0,-,,,,,,,,,
1515638200493,,,0,0,0,-,,,,,,,,,
1515638200690,,,0,0,0,-,,,,,,,,,
1515638200890,,,0,0,0,-,,,,,,,,,
1515638201091,,,0,0,0,-,,,,,,,,,
1515638201236,,,1,696,347,-,,,,,,,,,
1515638201258,,,1,695,347,-,,,,,,,,,
1515638201266,,,1,694,347,-,,,,,,,,,
1515638201282,,,1,694,346,-,,,,,,,,,
1515638201299,,,1,694,346,-,,,,,,,,,
1515638201316,,,1,693,346,-,,,,,,,,,
1515638201333,,,1,693,346,-,,,,,,,,,
1515638201350,,,1,692,346,-,,,,,,,,,
1515638201366,,,1,689,346,-,,,,,,,,,
1515638201382,,,1,685,346,-,,,,,,,,,
1515638201399,,,1,682,345,-,,,,,,,,,
1515638201416,,,1,677,344,-,,,,,,,,,
1515638201433,,,1,675,343,-,,,,,,,,,
1515638201450,,,1,672,340,-,,,,,,,,,
1515638201466,,,1,668,335,-,,,,,,,,,
1515638201483,,,1,662,324,-,,,,,,,,,
1515638201499,,,1,652,305,-,,,,,,,,,
1515638201516,,,1,645,291,-,,,,,,,,,
1515638201533,,,1,631,274,-,,,,,,,,,
1515638201550,,,1,616,259,-,,,,,,,,,
1515638201567,,,1,583,227,-,,,,,,,,,
1515638201583,,,1,569,215,-,,,,,,,,,
1515638201600,,,1,569,214,-,,,,,,,,,
1515638201779,,,1,569,213,-,,,,,,,,,
1515638201784,,,1,569,213,-,,,,,,,,,
1515638201800,,,1,570,212,-,,,,,,,,,
1515638201817,,,1,569,207,-,,,,,,,,,
1515638201833,,,1,569,206,-,,,,,,,,,
1515638201850,,,1,566,203,-,,,,,,,,,
1515638201867,,,1,565,201,-,,,,,,,,,
1515638201883,,,1,564,197,-,,,,,,,,,
1515638201900,,,1,563,195,-,,,,,,,,,
1515638201917,,,1,562,193,12,,,,,,,,,
1515638201959,,,2,562,193,-,,,,,,,,,
1515638202048,,,3,562,193,10,,,,,,,,,
1515638202119,,,2,562,193,-,,,,,,,,,
1515638202196,,,3,562,193,10,,,,,,,,,
1515638202234,,,2,562,193,-,,,,,,,,,
1515638202328,,,3,562,193,10,,,,,,,,,
1515638202688,,,0,562,193,-,,,,,,,,,
1515638202891,,,0,562,193,-,,,,,,,,,
1515638203091,,,0,562,193,-,,,,,,,,,
1515638203292,,,0,562,193,-,,,,,,,,,
1515638203488,,,0,562,193,-,,,,,,,,,
1515638203554,,,1,562,193,-,,,,,,,,,
1515638203567,,,1,561,194,-,,,,,,,,,
1515638203582,,,1,558,200,-,,,,,,,,,
1515638203600,,,1,556,206,-,,,,,,,,,
1515638203616,,,1,545,220,-,,,,,,,,,
1515638203633,,,1,537,232,-,,,,,,,,,
1515638203649,,,1,527,247,-,,,,,,,,,
1515638203667,,,1,525,250,-,,,,,,,,,
1515638203684,,,1,524,251,-,,,,,,,,,
1515638203701,,,1,522,254,-,,,,,,,,,
1515638203716,,,1,522,255,-,,,,,,,,,
1515638203733,,,1,522,255,-,,,,,,,,,
1515638203750,,,1,522,255,12,,,,,,,,,
1515638203755,,,2,522,255,-,,,,,,,,,
1515638203817,,,1,522,256,-,,,,,,,,,
1515638203833,,,1,522,256,-,,,,,,,,,
1515638203850,,,1,522,256,-,,,,,,,,,
1515638203866,,,1,523,256,-,,,,,,,,,
1515638203870,,,3,523,256,13,,,,,,,,,
1515638204091,,,0,523,256,-,,,,,,,,,
1515638204119,,,1,523,257,-,,,,,,,,,
1515638204133,,,1,523,258,-,,,,,,,,,
1515638204134,,,1,523,258,-,,,,,,,,,
1515638204150,,,1,525,264,-,,,,,,,,,
1515638204166,,,1,528,271,-,,,,,,,,,
1515638204174,,,1,530,274,-,,,,,,,,,
1515638204183,,,1,530,277,-,,,,,,,,,
1515638204200,,,1,533,281,-,,,,,,,,,
1515638204216,,,1,533,283,-,,,,,,,,,
1515638204230,,,1,534,285,-,,,,,,,,,
1515638204250,,,1,535,286,-,,,,,,,,,
1515638204266,,,1,535,288,-,,,,,,,,,
1515638204283,,,1,536,290,-,,,,,,,,,
1515638204294,,,1,536,291,-,,,,,,,,,
1515638204300,,,1,536,293,-,,,,,,,,,
1515638204310,,,1,536,294,-,,,,,,,,,
1515638204317,,,1,536,294,-,,,,,,,,,
1515638204333,,,1,536,296,-,,,,,,,,,
1515638204350,,,1,536,300,-,,,,,,,,,
1515638204367,,,1,536,301,-,,,,,,,,,
1515638204383,,,1,536,302,-,,,,,,,,,
1515638204404,,,1,536,303,12,,,,,,,,,
1515638204437,,,2,536,303,-,,,,,,,,,
1515638204474,,,1,536,303,-,,,,,,,,,
1515638204512,,,3,536,303,13,,,,,,,,,
1515638204517,,,1,536,302,-,,,,,,,,,
1515638204533,,,1,536,302,-,,,,,,,,,
1515638204550,,,1,536,300,-,,,,,,,,,
1515638204567,,,1,536,298,-,,,,,,,,,
1515638204583,,,1,535,293,-,,,,,,,,,
1515638204600,,,1,534,288,-,,,,,,,,,
1515638204616,,,1,533,284,-,,,,,,,,,
1515638204635,,,1,532,282,-,,,,,,,,,
1515638204650,,,1,531,281,-,,,,,,,,,
1515638204667,,,1,531,280,-,,,,,,,,,
