Time,key_event_type,dialog_type,mouse_event_type,op_x,op_y,Action,first_x,first_y,second_x,second_y,Session_Id,Bot,Unnamed: 13,scenario,terminal
1515653891371,,,0,0,0,-,292.65625,298.875,592.65625,342.875,1515653891131.0,1.0,,0.0,0.0
1515653891568,,,0,0,0,-,,,,,,,,,
1515653891767,,,0,0,0,-,,,,,,,,,
1515653891968,,,0,0,0,-,,,,,,,,,
1515653892169,,,0,0,0,-,,,,,,,,,
1515653892364,,,0,0,0,-,,,,,,,,,
1515653892566,,,0,0,0,-,,,,,,,,,
1515653892700,,,1,788,252,-,,,,,,,,,
1515653892715,,,1,775,241,-,,,,,,,,,
1515653892733,,,1,760,221,-,,,,,,,,,
1515653892750,,,1,750,210,-,,,,,,,,,
1515653892766,,,1,730,197,-,,,,,,,,,
1515653892783,,,1,717,177,-,,,,,,,,,
1515653892800,,,1,703,165,-,,,,,,,,,
1515653892816,,,1,692,150,-,,,,,,,,,
1515653892833,,,1,674,131,-,,,,,,,,,
1515653892850,,,1,660,111,-,,,,,,,,,
1515653892867,,,1,645,101,-,,,,,,,,,
1515653892883,,,1,625,81,-,,,,,,,,,
1515653892900,,,1,615,71,-,,,,,,,,,
1515653892917,,,1,597,60,-,,,,,,,,,
1515653892933,,,1,581,42,-,,,,,,,,,
1515653892950,,,1,562,27,-,,,,,,,,,
1515653892966,,,1,542,16,12,,,,,,,,,
1515653893167,,,0,542,16,-,,,,,,,,,
1515653893203,,,1,442,191,12,,,,,,,,,
1515653893204,,,2,442,191,-,,,,,,,,,
1515653893210,,,3,442,191,10,,,,,,,,,
1515653893567,,,0,442,191,-,,,,,,,,,
1515653893767,,,0,442,191,-,,,,,,,,,
1515653893945,,,1,674,596,-,,,,,,,,,
1515653893961,,,1,679,587,-,,,,,,,,,
1515653893977,,,1,685,573,-,,,,,,,,,
1515653893995,,,1,688,566,-,,,,,,,,,
1515653894011,,,1,691,559,-,,,,,,,,,
1515653894030,,,1,693,556,12,,,,,,,,,
1515653894042,6.0,,0,693,556,,,,,,,,,,
1515653894064,,,1,694,554,-,,,,,,,,,
1515653894069,,,1,695,554,-,,,,,,,,,
1515653894152,7.0,,0,695,554,,,,,,,,,,
1515653894259,6.0,,0,695,554,,,,,,,,,,
1515653894326,,,1,697,553,-,,,,,,,,,
1515653894343,,,1,704,550,-,,,,,,,,,
1515653894360,,,1,712,545,-,,,,,,,,,
1515653894366,7.0,,0,712,545,,,,,,,,,,
1515653894378,,,1,720,541,-,,,,,,,,,
1515653894395,,,1,730,536,-,,,,,,,,,
1515653894413,,,1,735,535,-,,,,,,,,,
1515653894430,,,1,739,534,-,,,,,,,,,
1515653894447,,,1,741,534,-,,,,,,,,,
1515653894464,,,1,742,534,12,,,,,,,,,
1515653894471,6.0,,0,742,534,,,,,,,,,,
1515653894504,,,1,740,536,-,,,,,,,,,
1515653894520,,,1,730,545,-,,,,,,,,,
1515653894537,,,1,716,556,-,,,,,,,,,
1515653894554,,,1,701,568,-,,,,,,,,,
1515653894571,,,1,688,580,-,,,,,,,,,
1515653894577,7.0,,0,688,580,,,,,,,,,,
1515653894589,,,1,682,587,12,,,,,,,,,
1515653894682,6.0,,0,682,587,,,,,,,,,,
1515653894790,7.0,,0,682,587,,,,,,,,,,
1515653894895,6.0,,0,682,587,,,,,,,,,,
1515653894967,,,0,682,587,-,,,,,,,,,
1515653895001,7.0,,0,682,587,,,,,,,,,,
1515653895107,6.0,,0,682,587,,,,,,,,,,
1515653895167,,,0,682,587,-,,,,,,,,,
1515653895214,7.0,,0,682,587,,,,,,,,,,
1515653895320,6.0,,0,682,587,,,,,,,,,,
1515653895367,,,0,682,587,-,,,,,,,,,
1515653895428,7.0,,0,682,587,,,,,,,,,,
1515653895533,6.0,,0,682,587,,,,,,,,,,
1515653895565,,,0,682,587,-,,,,,,,,,
1515653895642,7.0,,0,682,587,,,,,,,,,,
1515653895746,6.0,,0,682,587,,,,,,,,,,
1515653895766,,,0,682,587,-,,,,,,,,,
1515653895854,7.0,,0,682,587,,,,,,,,,,
1515653895958,6.0,,0,682,587,,,,,,,,,,
1515653895965,,,0,682,587,-,,,,,,,,,
1515653896064,7.0,,0,682,587,,,,,,,,,,
1515653896165,,,0,682,587,-,,,,,,,,,
1515653896173,,,1,442,255,12,,,,,,,,,
1515653896173,,,2,442,255,-,,,,,,,,,
1515653896177,,,3,442,255,10,,,,,,,,,
1515653896568,,,0,442,255,-,,,,,,,,,
1515653896768,,,0,442,255,-,,,,,,,,,
1515653896968,,,0,442,255,-,,,,,,,,,
1515653897000,6.0,,0,442,255,,,,,,,,,,
1515653897108,7.0,,0,442,255,,,,,,,,,,
1515653897167,,,0,442,255,-,,,,,,,,,
1515653897212,6.0,,0,442,255,,,,,,,,,,
1515653897320,7.0,,0,442,255,,,,,,,,,,
1515653897367,,,0,442,255,-,,,,,,,,,
1515653897426,6.0,,0,442,255,,,,,,,,,,
1515653897533,7.0,,0,442,255,,,,,,,,,,
1515653897568,,,0,442,255,-,,,,,,,,,
1515653897640,6.0,,0,442,255,,,,,,,,,,
1515653897747,7.0,,0,442,255,,,,,,,,,,
1515653897768,,,0,442,255,-,,,,,,,,,
1515653897852,6.0,,0,442,255,,,,,,,,,,
1515653897958,7.0,,0,442,255,,,,,,,,,,
1515653897967,,,0,442,255,-,,,,,,,,,
1515653898065,6.0,,0,442,255,,,,,,,,,,
1515653898167,,,0,442,255,-,,,,,,,,,
1515653898173,7.0,,0,442,255,,,,,,,,,,
1515653898280,6.0,,0,442,255,,,,,,,,,,
1515653898368,,,0,442,255,-,,,,,,,,,
1515653898386,7.0,,0,442,255,,,,,,,,,,
1515653898491,6.0,,0,442,255,,,,,,,,,,
1515653898568,,,0,442,255,-,,,,,,,,,
1515653898599,7.0,,0,442,255,,,,,,,,,,
1515653898704,6.0,,0,442,255,,,,,,,,,,
1515653898767,,,0,442,255,-,,,,,,,,,
1515653898812,7.0,,0,442,255,,,,,,,,,,
1515653898914,6.0,,0,442,255,,,,,,,,,,
1515653898969,,,0,442,255,-,,,,,,,,,
