Action,mouse_event_type,Time,op_x,op_y,first_x,first_y,second_x,second_y,scenario,terminal,Bot
0,1,1525966314120,270,82,865,428,576,386,0,0,0.32916668
0,1,1525966315442,270,82,865,428,576,386,0,0,0.32916668
12,1,1525966315449,812,269,865,428,576,386,0,0,0.32916668
0,0,1525966315652,812,269,865,428,576,386,0,0,0.32916668
0,1,1525966315808,811,269,865,428,576,386,0,0,0.32916668
0,1,1525966315824,809,269,865,428,576,386,0,0,0.32916668
0,1,1525966315840,805,269,865,428,576,386,0,0,0.32916668
0,1,1525966315856,802,268,865,428,576,386,0,0,0.32916668
0,1,1525966315872,800,268,865,428,576,386,0,0,0.32916668
12,1,1525966315888,800,268,865,428,576,386,0,0,0.32916668
0,2,1525966315954,800,268,865,428,576,386,0,0,0.32916668
0,1,1525966316546,800,268,865,428,576,386,0,0,0.32916668
0,1,1525966316580,745,290,865,428,576,386,0,0,0.32916668
13,3,1525966316589,800,268,865,428,576,386,0,0,0.32916668
12,1,1525966316590,740,292,865,428,576,386,0,0,0.32916668
0,0,1525966316855,740,292,865,428,576,386,0,0,0.32916668
0,1,1525966317479,737,318,865,428,576,386,0,0,0.32916668
0,1,1525966317570,737,319,865,428,576,386,0,0,0.32916668
0,1,1525966317586,735,324,865,428,576,386,0,0,0.32916668
0,1,1525966317602,734,330,865,428,576,386,0,0,0.32916668
0,1,1525966317610,734,336,865,428,576,386,0,0,0.32916668
0,1,1525966317618,733,341,865,428,576,386,0,0,0.32916668
0,1,1525966317626,732,347,865,428,576,386,0,0,0.32916668
0,1,1525966317634,731,354,865,428,576,386,0,0,0.32916668
0,1,1525966317642,730,361,865,428,576,386,0,0,0.32916668
0,1,1525966317650,728,375,865,428,576,386,0,0,0.32916668
0,1,1525966317658,726,383,865,428,576,386,0,0,0.32916668
0,1,1525966317666,724,390,865,428,576,386,0,0,0.32916668
0,1,1525966317674,723,397,865,428,576,386,0,0,0.32916668
0,1,1525966317684,721,402,865,428,576,386,0,0,0.32916668
0,1,1525966317688,720,407,865,428,576,386,0,0,0.32916668
0,1,1525966317697,718,411,865,428,576,386,0,0,0.32916668
0,1,1525966317705,717,415,865,428,576,386,0,0,0.32916668
0,1,1525966317713,715,420,865,428,576,386,0,0,0.32916668
0,1,1525966317729,714,423,865,428,576,386,0,0,0.32916668
0,1,1525966317745,713,424,865,428,576,386,0,0,0.32916668
0,1,1525966317761,712,425,865,428,576,386,0,0,0.32916668
0,1,1525966317777,711,426,865,428,576,386,0,0,0.32916668
0,1,1525966317793,711,426,865,428,576,386,0,0,0.32916668
0,1,1525966317882,711,426,865,428,576,386,0,0,0.32916668
0,1,1525966317898,711,425,865,428,576,386,0,0,0.32916668
0,1,1525966317914,710,423,865,428,576,386,0,0,0.32916668
0,1,1525966317930,710,420,865,428,576,386,0,0,0.32916668
0,1,1525966317946,709,416,865,428,576,386,0,0,0.32916668
0,1,1525966317954,708,413,865,428,576,386,0,0,0.32916668
0,1,1525966317962,708,410,865,428,576,386,0,0,0.32916668
0,1,1525966317970,708,407,865,428,576,386,0,0,0.32916668
12,1,1525966317985,708,404,865,428,576,386,0,0,0.32916668
0,2,1525966318058,708,404,865,428,576,386,0,0,0.32916668
10,3,1525966318154,708,404,865,428,576,386,0,0,0.32916668
