Action,mouse_event_type,Time,op_x,op_y,first_x,first_y,second_x,second_y,scenario,terminal,Bot
0,1,1525340445352,762,3,1105,435,816,389,0,0,1
0,1,1525340445363,772,7,1105,435,816,389,0,0,1
0,1,1525340445379,793,16,1105,435,816,389,0,0,1
0,1,1525340445396,816,32,1105,435,816,389,0,0,1
0,1,1525340445412,837,50,1105,435,816,389,0,0,1
0,1,1525340445430,856,71,1105,435,816,389,0,0,1
0,1,1525340445445,871,94,1105,435,816,389,0,0,1
0,1,1525340445463,891,132,1105,435,816,389,0,0,1
0,1,1525340445480,901,156,1105,435,816,389,0,0,1
0,1,1525340445497,911,181,1105,435,816,389,0,0,1
0,1,1525340445514,917,205,1105,435,816,389,0,0,1
0,1,1525340445529,922,225,1105,435,816,389,0,0,1
0,1,1525340445547,927,244,1105,435,816,389,0,0,1
0,1,1525340445574,931,272,1105,435,816,389,0,0,1
0,1,1525340445599,935,297,1105,435,816,389,0,0,1
0,1,1525340445622,936,316,1105,435,816,389,0,0,1
0,1,1525340445635,937,323,1105,435,816,389,0,0,1
0,1,1525340445646,940,333,1105,435,816,389,0,0,1
0,1,1525340445663,942,344,1105,435,816,389,0,0,1
0,1,1525340445679,943,353,1105,435,816,389,0,0,1
0,1,1525340445696,943,359,1105,435,816,389,0,0,1
0,1,1525340445713,943,365,1105,435,816,389,0,0,1
0,1,1525340445729,943,372,1105,435,816,389,0,0,1
0,1,1525340445746,943,379,1105,435,816,389,0,0,1
0,1,1525340445763,943,383,1105,435,816,389,0,0,1
0,1,1525340445780,943,386,1105,435,816,389,0,0,1
0,1,1525340445796,943,388,1105,435,816,389,0,0,1
0,1,1525340445813,943,389,1105,435,816,389,0,0,1
0,1,1525340445830,943,390,1105,435,816,389,0,0,1
0,1,1525340445846,943,390,1105,435,816,389,0,0,1
0,1,1525340445863,943,391,1105,435,816,389,0,0,1
12,1,1525340445880,943,391,1105,435,816,389,0,0,1
0,2,1525340445993,943,391,1105,435,816,389,0,0,1
10,3,1525340446087,943,391,1105,435,816,389,0,0,1
