Action,mouse_event_type,Time,op_x,op_y,first_x,first_y,second_x,second_y,scenario,terminal,Bot
0,1,1518081359779,1296,159,841,407,576,389,0,0,1
0,1,1518081359789,1284,158,841,407,576,389,0,0,1
0,1,1518081359802,1269,157,841,407,576,389,0,0,1
0,1,1518081359823,1209,155,841,407,576,389,0,0,1
0,1,1518081359839,1171,155,841,407,576,389,0,0,1
0,1,1518081359856,1151,159,841,407,576,389,0,0,1
0,1,1518081359868,1092,179,841,407,576,389,0,0,1
0,1,1518081359885,1055,197,841,407,576,389,0,0,1
0,1,1518081359902,1033,212,841,407,576,389,0,0,1
0,1,1518081359920,1008,230,841,407,576,389,0,0,1
0,1,1518081359936,991,245,841,407,576,389,0,0,1
0,1,1518081359952,977,259,841,407,576,389,0,0,1
0,1,1518081360103,980,258,841,407,576,389,0,0,1
0,1,1518081360120,990,251,841,407,576,389,0,0,1
0,1,1518081360136,996,246,841,407,576,389,0,0,1
0,1,1518081360152,997,244,841,407,576,389,0,0,1
0,1,1518081360170,995,244,841,407,576,389,0,0,1
0,1,1518081360186,976,248,841,407,576,389,0,0,1
0,1,1518081360203,950,259,841,407,576,389,0,0,1
0,1,1518081360220,918,277,841,407,576,389,0,0,1
0,1,1518081360240,882,298,841,407,576,389,0,0,1
0,1,1518081360256,867,308,841,407,576,389,0,0,1
0,1,1518081360270,852,317,841,407,576,389,0,0,1
0,1,1518081360286,845,320,841,407,576,389,0,0,1
0,1,1518081360303,839,323,841,407,576,389,0,0,1
0,1,1518081360320,836,325,841,407,576,389,0,0,1
0,1,1518081360337,834,326,841,407,576,389,0,0,1
0,1,1518081360353,833,327,841,407,576,389,0,0,1
0,1,1518081360370,832,327,841,407,576,389,0,0,1
0,1,1518081360403,832,328,841,407,576,389,0,0,1
0,1,1518081360621,832,327,841,407,576,389,0,0,1
0,1,1518081360640,832,327,841,407,576,389,0,0,1
0,1,1518081360654,832,327,841,407,576,389,0,0,1
0,1,1518081360671,833,327,841,407,576,389,0,0,1
0,1,1518081360687,833,327,841,407,576,389,0,0,1
38,1,1518081360704,833,326,841,407,576,389,0,0,1
0,0,1518081360975,833,326,841,407,576,389,0,0,1
0,1,1518081361058,832,327,841,407,576,389,0,0,1
0,1,1518081361072,831,327,841,407,576,389,0,0,1
0,1,1518081361088,828,329,841,407,576,389,0,0,1
0,1,1518081361105,826,330,841,407,576,389,0,0,1
0,1,1518081361122,822,332,841,407,576,389,0,0,1
0,1,1518081361139,819,334,841,407,576,389,0,0,1
0,1,1518081361155,816,335,841,407,576,389,0,0,1
0,1,1518081361173,814,336,841,407,576,389,0,0,1
0,1,1518081361189,812,337,841,407,576,389,0,0,1
0,1,1518081361206,811,337,841,407,576,389,0,0,1
0,1,1518081361222,811,337,841,407,576,389,0,0,1
0,1,1518081361239,811,338,841,407,576,389,0,0,1
0,1,1518081361273,810,338,841,407,576,389,0,0,1
0,1,1518081361289,810,338,841,407,576,389,0,0,1
0,1,1518081361305,808,339,841,407,576,389,0,0,1
0,1,1518081361322,807,341,841,407,576,389,0,0,1
0,1,1518081361339,805,342,841,407,576,389,0,0,1
0,1,1518081361356,804,344,841,407,576,389,0,0,1
0,1,1518081361372,802,346,841,407,576,389,0,0,1
0,1,1518081361390,800,348,841,407,576,389,0,0,1
0,1,1518081361407,798,349,841,407,576,389,0,0,1
0,1,1518081361423,796,351,841,407,576,389,0,0,1
0,1,1518081361439,794,352,841,407,576,389,0,0,1
0,1,1518081361459,792,354,841,407,576,389,0,0,1
0,1,1518081361473,791,355,841,407,576,389,0,0,1
0,1,1518081361489,790,355,841,407,576,389,0,0,1
38,1,1518081361506,789,356,841,407,576,389,0,0,1
0,0,1518081361776,789,356,841,407,576,389,0,0,1
0,1,1518081362542,789,356,841,407,576,389,0,0,1
0,1,1518081362559,787,356,841,407,576,389,0,0,1
0,1,1518081362576,785,357,841,407,576,389,0,0,1
0,1,1518081362593,784,358,841,407,576,389,0,0,1
0,1,1518081362610,783,359,841,407,576,389,0,0,1
0,1,1518081362626,783,359,841,407,576,389,0,0,1
0,1,1518081362643,783,359,841,407,576,389,0,0,1
0,1,1518081362663,781,360,841,407,576,389,0,0,1
0,1,1518081362677,779,360,841,407,576,389,0,0,1
0,1,1518081362693,778,361,841,407,576,389,0,0,1
0,1,1518081362710,775,362,841,407,576,389,0,0,1
0,1,1518081362726,773,362,841,407,576,389,0,0,1
0,1,1518081362743,771,363,841,407,576,389,0,0,1
0,1,1518081362760,770,364,841,407,576,389,0,0,1
0,1,1518081362777,769,364,841,407,576,389,0,0,1
0,1,1518081362794,769,364,841,407,576,389,0,0,1
0,1,1518081362810,768,364,841,407,576,389,0,0,1
0,1,1518081362827,768,364,841,407,576,389,0,0,1
0,1,1518081362995,768,364,841,407,576,389,0,0,1
0,1,1518081363011,767,364,841,407,576,389,0,0,1
