Time,event_type,op_x,op_y,Action,correct_x,correct_y,slidebarleft_x,slidebarleft_y,slidebarright_x,slidebarright_y,Session_Id,Bot,Unnamed: 13,scenario,terminal
1515998654717,0,442,532,-,524.0,229.5,240.0,373.5,276.0,409.5,1515998642893.0,1.0,,1.0,0.0
1515998654916,0,442,532,-,,,,,,,,,,,
1515998655120,0,442,532,-,,,,,,,,,,,
1515998655320,0,442,532,-,,,,,,,,,,,
1515998655516,0,442,532,-,,,,,,,,,,,
1515998655716,0,442,532,-,,,,,,,,,,,
1515998655917,0,442,532,-,,,,,,,,,,,
1515998656121,0,442,532,-,,,,,,,,,,,
1515998656321,0,442,532,-,,,,,,,,,,,
1515998656519,0,442,532,-,,,,,,,,,,,
1515998656717,0,442,532,-,,,,,,,,,,,
1515998656917,0,442,532,-,,,,,,,,,,,
1515998657117,0,442,532,-,,,,,,,,,,,
1515998657316,0,442,532,-,,,,,,,,,,,
1515998657519,0,442,532,-,,,,,,,,,,,
1515998657718,0,442,532,-,,,,,,,,,,,
1515998657919,0,442,532,-,,,,,,,,,,,
1515998658117,0,442,532,-,,,,,,,,,,,
1515998658321,0,442,532,-,,,,,,,,,,,
1515998658516,0,442,532,-,,,,,,,,,,,
1515998658721,0,442,532,-,,,,,,,,,,,
1515998658918,0,442,532,-,,,,,,,,,,,
1515998659120,0,442,532,-,,,,,,,,,,,
1515998659318,0,442,532,-,,,,,,,,,,,
1515998659519,0,442,532,-,,,,,,,,,,,
1515998659717,0,442,532,-,,,,,,,,,,,
1515998659916,0,442,532,-,,,,,,,,,,,
1515998660119,0,442,532,-,,,,,,,,,,,
1515998660316,0,442,532,-,,,,,,,,,,,
1515998660518,0,442,532,-,,,,,,,,,,,
1515998660719,0,442,532,-,,,,,,,,,,,
1515998660920,0,442,532,-,,,,,,,,,,,
1515998661120,0,442,532,-,,,,,,,,,,,
1515998661316,0,442,532,-,,,,,,,,,,,
1515998661517,0,442,532,-,,,,,,,,,,,
1515998661718,0,442,532,-,,,,,,,,,,,
1515998661918,0,442,532,-,,,,,,,,,,,
1515998662117,0,442,532,-,,,,,,,,,,,
1515998662318,0,442,532,-,,,,,,,,,,,
1515998662521,0,442,532,-,,,,,,,,,,,
1515998662720,0,442,532,-,,,,,,,,,,,
1515998662917,0,442,532,-,,,,,,,,,,,
1515998663116,0,442,532,-,,,,,,,,,,,
1515998663318,0,442,532,-,,,,,,,,,,,
1515998663520,0,442,532,-,,,,,,,,,,,
1515998663717,0,442,532,-,,,,,,,,,,,
1515998663921,0,442,532,-,,,,,,,,,,,
1515998664116,0,442,532,-,,,,,,,,,,,
1515998664294,1,278,386,-,,,,,,,,,,,
1515998664303,1,258,391,12,,,,,,,,,,,
1515998664304,2,258,391,-,,,,,,,,,,,
1515998664307,3,258,391,10,,,,,,,,,,,
1515998664518,0,258,391,-,,,,,,,,,,,
1515998664718,0,258,391,-,,,,,,,,,,,
1515998664916,0,258,391,-,,,,,,,,,,,
1515998665117,0,258,391,-,,,,,,,,,,,
1515998665316,0,258,391,-,,,,,,,,,,,
1515998665518,0,258,391,-,,,,,,,,,,,
1515998665716,0,258,391,-,,,,,,,,,,,
1515998665916,0,258,391,-,,,,,,,,,,,
1515998666116,0,258,391,-,,,,,,,,,,,
1515998666315,2,258,391,-,,,,,,,,,,,
1515998674088,1,588,597,-,,,,,,,,,,,
1515998676339,1,238,363,-,,,,,,,,,,,
1515998676353,1,242,365,-,,,,,,,,,,,
1515998676370,1,245,366,-,,,,,,,,,,,
1515998676386,1,247,376,-,,,,,,,,,,,
1515998676403,1,252,368,-,,,,,,,,,,,
1515998676420,1,255,380,-,,,,,,,,,,,
1515998676436,1,258,368,-,,,,,,,,,,,
1515998676453,1,262,373,-,,,,,,,,,,,
1515998676470,1,265,364,-,,,,,,,,,,,
1515998676486,1,270,364,-,,,,,,,,,,,
1515998676504,1,274,366,-,,,,,,,,,,,
1515998676520,1,276,363,-,,,,,,,,,,,
1515998676537,1,279,366,-,,,,,,,,,,,
1515998676554,1,284,363,-,,,,,,,,,,,
1515998676571,1,288,371,-,,,,,,,,,,,
1515998676587,1,292,371,-,,,,,,,,,,,
1515998676604,1,296,379,-,,,,,,,,,,,
1515998676621,1,301,380,-,,,,,,,,,,,
1515998676637,1,305,373,-,,,,,,,,,,,
1515998676655,1,309,375,-,,,,,,,,,,,
1515998676671,1,312,360,-,,,,,,,,,,,
1515998676688,1,317,377,-,,,,,,,,,,,
1515998676705,1,320,362,-,,,,,,,,,,,
1515998676721,1,323,380,-,,,,,,,,,,,
1515998676738,1,328,380,-,,,,,,,,,,,
1515998676754,1,333,376,-,,,,,,,,,,,
1515998676771,1,337,372,-,,,,,,,,,,,
1515998676789,1,341,379,-,,,,,,,,,,,
1515998676804,1,346,379,-,,,,,,,,,,,
1515998676821,1,349,364,-,,,,,,,,,,,
1515998676837,1,351,377,-,,,,,,,,,,,
1515998676854,1,353,369,-,,,,,,,,,,,
1515998676871,1,355,371,-,,,,,,,,,,,
1515998676888,1,359,366,-,,,,,,,,,,,
1515998676905,1,361,360,-,,,,,,,,,,,
1515998676921,1,363,370,-,,,,,,,,,,,
1515998676938,1,366,377,-,,,,,,,,,,,
1515998676955,1,371,375,-,,,,,,,,,,,
1515998676972,1,373,361,-,,,,,,,,,,,
1515998676988,1,377,369,-,,,,,,,,,,,
1515998677005,1,380,366,-,,,,,,,,,,,
1515998677022,1,383,379,-,,,,,,,,,,,
1515998677038,1,387,375,-,,,,,,,,,,,
1515998677056,1,390,364,-,,,,,,,,,,,
1515998677072,1,395,374,-,,,,,,,,,,,
1515998677089,1,400,369,-,,,,,,,,,,,
1515998677106,1,403,366,-,,,,,,,,,,,
1515998677122,1,405,361,-,,,,,,,,,,,
1515998677139,1,410,373,-,,,,,,,,,,,
1515998677155,1,413,378,-,,,,,,,,,,,
1515998677172,1,415,381,-,,,,,,,,,,,
1515998677189,1,418,377,-,,,,,,,,,,,
1515998677205,1,423,364,-,,,,,,,,,,,
1515998677222,1,425,374,-,,,,,,,,,,,
1515998677239,1,430,374,-,,,,,,,,,,,
1515998677255,1,434,368,-,,,,,,,,,,,
1515998677273,1,436,369,-,,,,,,,,,,,
1515998677289,1,438,381,-,,,,,,,,,,,
1515998677306,1,441,363,-,,,,,,,,,,,
1515998677323,1,446,369,-,,,,,,,,,,,
1515998677339,1,449,362,-,,,,,,,,,,,
1515998677356,1,452,378,-,,,,,,,,,,,
1515998677373,1,457,371,-,,,,,,,,,,,
1515998677390,1,461,373,-,,,,,,,,,,,
1515998677407,1,463,367,-,,,,,,,,,,,
1515998677423,1,465,360,-,,,,,,,,,,,
1515998677439,1,469,371,-,,,,,,,,,,,
1515998677456,1,472,381,-,,,,,,,,,,,
1515998677473,1,477,368,-,,,,,,,,,,,
1515998677490,1,480,372,-,,,,,,,,,,,
1515998677506,1,483,379,-,,,,,,,,,,,
1515998677524,1,485,372,-,,,,,,,,,,,
1515998677540,1,489,365,-,,,,,,,,,,,
1515998677557,1,491,381,-,,,,,,,,,,,
1515998677573,1,496,362,-,,,,,,,,,,,
1515998677589,1,500,369,-,,,,,,,,,,,
1515998677607,1,504,380,-,,,,,,,,,,,
1515998679615,3,504,380,13,,,,,,,,,,,
