Time,event_type,op_x,op_y,Action,correct_x,correct_y,slidebarleft_x,slidebarleft_y,slidebarright_x,slidebarright_y,Session_Id,Bot,Unnamed: 13,scenario,terminal
1516329881328,1,818,354,-,757.15625,285.875,597.15625,351.875,633.15625,387.875,1516329880922.0,0.0,,1.0,0.0
1516329881419,1,817,354,-,,,,,,,,,,,
1516329881430,1,816,353,-,,,,,,,,,,,
1516329881447,1,811,349,-,,,,,,,,,,,
1516329881463,1,806,344,-,,,,,,,,,,,
1516329881480,1,800,339,-,,,,,,,,,,,
1516329881497,1,796,336,-,,,,,,,,,,,
1516329881514,1,794,333,-,,,,,,,,,,,
1516329881531,1,791,329,12,,,,,,,,,,,
1516329881741,0,791,329,-,,,,,,,,,,,
1516329881835,2,791,329,-,,,,,,,,,,,
1516329881842,3,791,329,10,,,,,,,,,,,
1516329882141,0,791,329,-,,,,,,,,,,,
1516329882340,0,791,329,-,,,,,,,,,,,
1516329882398,1,791,329,-,,,,,,,,,,,
1516329882414,1,790,329,-,,,,,,,,,,,
1516329882431,1,788,329,-,,,,,,,,,,,
1516329882447,1,785,329,-,,,,,,,,,,,
1516329882464,1,783,329,-,,,,,,,,,,,
1516329882481,1,778,328,-,,,,,,,,,,,
1516329882497,1,773,326,-,,,,,,,,,,,
1516329882514,1,766,324,-,,,,,,,,,,,
1516329882531,1,757,320,-,,,,,,,,,,,
1516329882547,1,748,317,-,,,,,,,,,,,
1516329882564,1,737,311,-,,,,,,,,,,,
1516329882581,1,732,310,-,,,,,,,,,,,
1516329882597,1,727,308,-,,,,,,,,,,,
1516329882614,1,723,307,-,,,,,,,,,,,
1516329882630,1,720,307,-,,,,,,,,,,,
1516329882647,1,718,307,-,,,,,,,,,,,
1516329882792,1,718,307,-,,,,,,,,,,,
1516329882802,1,716,307,-,,,,,,,,,,,
1516329882814,1,713,307,-,,,,,,,,,,,
1516329882831,1,705,307,-,,,,,,,,,,,
1516329882847,1,694,308,-,,,,,,,,,,,
1516329882864,1,678,310,-,,,,,,,,,,,
1516329882881,1,662,312,-,,,,,,,,,,,
1516329882897,1,654,312,-,,,,,,,,,,,
1516329882913,1,649,312,-,,,,,,,,,,,
1516329882930,1,646,312,-,,,,,,,,,,,
1516329882947,1,644,311,-,,,,,,,,,,,
1516329882964,1,643,311,-,,,,,,,,,,,
1516329882980,1,642,310,-,,,,,,,,,,,
1516329882997,1,641,309,-,,,,,,,,,,,
1516329883014,1,640,308,-,,,,,,,,,,,
1516329883030,1,640,308,-,,,,,,,,,,,
1516329883047,1,639,307,-,,,,,,,,,,,
1516329883063,1,638,306,-,,,,,,,,,,,
1516329883080,1,637,305,-,,,,,,,,,,,
1516329883097,1,636,304,-,,,,,,,,,,,
1516329883114,1,634,302,-,,,,,,,,,,,
1516329883130,1,633,301,-,,,,,,,,,,,
1516329883146,1,632,300,-,,,,,,,,,,,
1516329883163,1,631,300,-,,,,,,,,,,,
1516329883180,1,630,299,-,,,,,,,,,,,
1516329883197,1,629,299,-,,,,,,,,,,,
1516329883214,1,628,299,-,,,,,,,,,,,
1516329883230,1,628,299,12,,,,,,,,,,,
1516329883273,2,628,299,-,,,,,,,,,,,
1516329883338,1,628,299,-,,,,,,,,,,,
1516329883347,1,629,299,-,,,,,,,,,,,
1516329883363,1,635,299,-,,,,,,,,,,,
1516329884251,1,751,297,-,,,,,,,,,,,
1516329884265,1,747,297,-,,,,,,,,,,,
1516329884281,1,737,298,-,,,,,,,,,,,
1516329884298,1,725,301,-,,,,,,,,,,,
1516329884314,1,684,313,-,,,,,,,,,,,
1516329884330,1,662,322,-,,,,,,,,,,,
1516329884347,1,638,334,-,,,,,,,,,,,
1516329884364,1,624,343,-,,,,,,,,,,,
1516329884381,1,611,352,-,,,,,,,,,,,
1516329884397,1,603,358,-,,,,,,,,,,,
1516329884414,1,600,362,-,,,,,,,,,,,
1516329884431,1,597,366,-,,,,,,,,,,,
1516329884448,1,595,369,-,,,,,,,,,,,
1516329884465,1,594,371,-,,,,,,,,,,,
1516329884481,1,593,372,-,,,,,,,,,,,
1516329884498,1,593,373,-,,,,,,,,,,,
1516329884515,1,592,374,-,,,,,,,,,,,
1516329884531,1,592,375,-,,,,,,,,,,,
1516329884547,1,592,375,-,,,,,,,,,,,
1516329884635,1,593,375,-,,,,,,,,,,,
1516329884648,1,594,375,-,,,,,,,,,,,
1516329884664,1,596,375,-,,,,,,,,,,,
1516329884681,1,598,375,-,,,,,,,,,,,
1516329884698,1,600,375,-,,,,,,,,,,,
1516329884714,1,601,374,-,,,,,,,,,,,
1516329884731,1,603,374,-,,,,,,,,,,,
1516329884748,1,605,372,-,,,,,,,,,,,
1516329884764,1,606,372,-,,,,,,,,,,,
1516329884781,1,607,372,-,,,,,,,,,,,
1516329884797,1,608,371,-,,,,,,,,,,,
1516329884814,1,608,371,-,,,,,,,,,,,
1516329884831,1,609,371,-,,,,,,,,,,,
1516329884848,1,609,371,-,,,,,,,,,,,
1516329884864,1,609,371,-,,,,,,,,,,,
1516329884881,1,609,371,-,,,,,,,,,,,
1516329884898,1,610,371,12,,,,,,,,,,,
1516329884901,2,610,371,-,,,,,,,,,,,
1516329884931,1,611,371,-,,,,,,,,,,,
1516329884948,1,619,371,-,,,,,,,,,,,
1516329884964,1,629,371,-,,,,,,,,,,,
1516329884981,1,640,370,-,,,,,,,,,,,
1516329884998,1,649,369,-,,,,,,,,,,,
1516329885014,1,660,368,-,,,,,,,,,,,
1516329885031,1,669,367,-,,,,,,,,,,,
1516329885048,1,676,367,-,,,,,,,,,,,
1516329885065,1,681,367,-,,,,,,,,,,,
1516329885081,1,688,367,-,,,,,,,,,,,
1516329885098,1,694,367,-,,,,,,,,,,,
1516329885115,1,700,367,-,,,,,,,,,,,
1516329885131,1,705,367,-,,,,,,,,,,,
1516329885148,1,712,367,-,,,,,,,,,,,
1516329885164,1,714,367,-,,,,,,,,,,,
1516329885181,1,716,367,-,,,,,,,,,,,
1516329885198,1,718,367,-,,,,,,,,,,,
1516329885214,1,719,367,-,,,,,,,,,,,
1516329885231,1,721,367,-,,,,,,,,,,,
1516329885248,1,723,367,-,,,,,,,,,,,
1516329885264,1,726,367,-,,,,,,,,,,,
1516329885281,1,728,367,-,,,,,,,,,,,
1516329885298,1,730,367,-,,,,,,,,,,,
1516329885315,1,731,367,-,,,,,,,,,,,
1516329885331,1,732,367,-,,,,,,,,,,,
1516329885348,1,733,367,-,,,,,,,,,,,
1516329885365,1,734,367,-,,,,,,,,,,,
1516329885388,1,734,367,-,,,,,,,,,,,
1516329885398,1,734,367,-,,,,,,,,,,,
1516329885414,1,735,367,-,,,,,,,,,,,
1516329885431,1,736,367,-,,,,,,,,,,,
1516329885448,1,737,367,-,,,,,,,,,,,
1516329885464,1,738,367,-,,,,,,,,,,,
1516329885482,1,738,367,-,,,,,,,,,,,
1516329885498,1,739,367,-,,,,,,,,,,,
1516329885515,1,739,367,-,,,,,,,,,,,
1516329885832,3,739,367,13,,,,,,,,,,,
1516329885892,1,739,366,-,,,,,,,,,,,
1516329885900,1,736,355,-,,,,,,,,,,,
1516329885914,1,723,333,-,,,,,,,,,,,
