Action,event_type,Time,op_x,op_y,correct_x,correct_y,slidebarright_x,slidebarright_y,slidebarleft_x,slidebarleft_y,scenario,terminal,Bot
12,1,1524554673944,276,563,675,765,482,932,440,892,1,0,1
0,0,1524554674177,276,563,675,765,482,932,440,892,1,0,1
12,1,1524554674915,461,912,675,765,482,932,440,892,1,0,1
0,2,1524554674941,461,912,675,765,482,932,440,892,1,0,1
0,1,1524554674964,462,913,675,765,482,932,440,892,1,0,1
0,1,1524554674965,462,913,675,765,482,932,440,892,1,0,1
0,1,1524554674980,466,914,675,765,482,932,440,892,1,0,1
0,1,1524554674981,466,914,675,765,482,932,440,892,1,0,1
0,1,1524554674998,467,915,675,765,482,932,440,892,1,0,1
0,1,1524554674999,467,915,675,765,482,932,440,892,1,0,1
0,1,1524554675013,470,916,675,765,482,932,440,892,1,0,1
0,1,1524554675014,470,916,675,765,482,932,440,892,1,0,1
0,1,1524554675031,471,917,675,765,482,932,440,892,1,0,1
0,1,1524554675032,471,917,675,765,482,932,440,892,1,0,1
0,1,1524554675048,475,918,675,765,482,932,440,892,1,0,1
0,1,1524554675048,475,918,675,765,482,932,440,892,1,0,1
0,1,1524554675065,477,919,675,765,482,932,440,892,1,0,1
0,1,1524554675066,477,919,675,765,482,932,440,892,1,0,1
0,1,1524554675080,481,920,675,765,482,932,440,892,1,0,1
0,1,1524554675083,481,920,675,765,482,932,440,892,1,0,1
0,1,1524554675097,483,921,675,765,482,932,440,892,1,0,1
0,1,1524554675098,483,921,675,765,482,932,440,892,1,0,1
0,1,1524554675113,484,922,675,765,482,932,440,892,1,0,1
0,1,1524554675114,484,922,675,765,482,932,440,892,1,0,1
0,1,1524554675131,488,923,675,765,482,932,440,892,1,0,1
0,1,1524554675131,488,923,675,765,482,932,440,892,1,0,1
0,1,1524554675147,489,924,675,765,482,932,440,892,1,0,1
0,1,1524554675148,489,924,675,765,482,932,440,892,1,0,1
0,1,1524554675164,494,925,675,765,482,932,440,892,1,0,1
0,1,1524554675165,494,925,675,765,482,932,440,892,1,0,1
0,1,1524554675180,497,926,675,765,482,932,440,892,1,0,1
0,1,1524554675182,497,926,675,765,482,932,440,892,1,0,1
0,1,1524554675197,501,927,675,765,482,932,440,892,1,0,1
0,1,1524554675198,501,927,675,765,482,932,440,892,1,0,1
0,1,1524554675214,504,928,675,765,482,932,440,892,1,0,1
0,1,1524554675214,504,928,675,765,482,932,440,892,1,0,1
0,1,1524554675231,506,929,675,765,482,932,440,892,1,0,1
0,1,1524554675232,506,929,675,765,482,932,440,892,1,0,1
0,1,1524554675248,507,930,675,765,482,932,440,892,1,0,1
0,1,1524554675249,507,930,675,765,482,932,440,892,1,0,1
0,1,1524554675263,510,931,675,765,482,932,440,892,1,0,1
0,1,1524554675264,510,931,675,765,482,932,440,892,1,0,1
0,1,1524554675281,512,932,675,765,482,932,440,892,1,0,1
0,1,1524554675283,512,932,675,765,482,932,440,892,1,0,1
0,1,1524554675297,516,933,675,765,482,932,440,892,1,0,1
0,1,1524554675298,516,933,675,765,482,932,440,892,1,0,1
0,1,1524554675313,520,934,675,765,482,932,440,892,1,0,1
0,1,1524554675315,520,934,675,765,482,932,440,892,1,0,1
0,1,1524554675331,524,935,675,765,482,932,440,892,1,0,1
0,1,1524554675332,524,935,675,765,482,932,440,892,1,0,1
0,1,1524554675347,528,936,675,765,482,932,440,892,1,0,1
0,1,1524554675349,528,936,675,765,482,932,440,892,1,0,1
0,1,1524554675364,529,937,675,765,482,932,440,892,1,0,1
0,1,1524554675365,529,937,675,765,482,932,440,892,1,0,1
0,1,1524554675380,532,938,675,765,482,932,440,892,1,0,1
0,1,1524554675380,532,938,675,765,482,932,440,892,1,0,1
0,1,1524554675397,536,939,675,765,482,932,440,892,1,0,1
0,1,1524554675398,536,939,675,765,482,932,440,892,1,0,1
0,1,1524554675414,540,940,675,765,482,932,440,892,1,0,1
0,1,1524554675415,540,940,675,765,482,932,440,892,1,0,1
0,1,1524554675430,542,941,675,765,482,932,440,892,1,0,1
0,1,1524554675431,542,941,675,765,482,932,440,892,1,0,1
0,1,1524554675448,547,942,675,765,482,932,440,892,1,0,1
0,1,1524554675448,547,942,675,765,482,932,440,892,1,0,1
0,1,1524554675464,548,943,675,765,482,932,440,892,1,0,1
0,1,1524554675464,548,943,675,765,482,932,440,892,1,0,1
0,1,1524554675482,550,944,675,765,482,932,440,892,1,0,1
0,1,1524554675482,550,944,675,765,482,932,440,892,1,0,1
0,1,1524554675497,555,945,675,765,482,932,440,892,1,0,1
0,1,1524554675499,555,945,675,765,482,932,440,892,1,0,1
0,1,1524554675514,556,946,675,765,482,932,440,892,1,0,1
