Action,event_type,Time,op_x,op_y,correct_x,correct_y,slidebarright_x,slidebarright_y,slidebarleft_x,slidebarleft_y,scenario,terminal,Bot
0,1,1524793755979,661,439,647,287,548,473,506,433,1,0,1
0,1,1524793755996,653,467,647,287,548,473,506,433,1,0,1
0,1,1524793756062,649,468,647,287,548,473,506,433,1,0,1
0,1,1524793756079,640,470,647,287,548,473,506,433,1,0,1
0,1,1524793756095,635,471,647,287,548,473,506,433,1,0,1
0,1,1524793756112,630,472,647,287,548,473,506,433,1,0,1
0,1,1524793756129,628,472,647,287,548,473,506,433,1,0,1
0,1,1524793756146,626,473,647,287,548,473,506,433,1,0,1
0,1,1524793756162,626,473,647,287,548,473,506,433,1,0,1
0,1,1524793756179,625,473,647,287,548,473,506,433,1,0,1
0,1,1524793756195,625,473,647,287,548,473,506,433,1,0,1
0,1,1524793756212,624,473,647,287,548,473,506,433,1,0,1
0,1,1524793756279,624,477,647,287,548,473,506,433,1,0,1
0,1,1524793756296,624,486,647,287,548,473,506,433,1,0,1
0,1,1524793756312,625,495,647,287,548,473,506,433,1,0,1
0,1,1524793756329,626,503,647,287,548,473,506,433,1,0,1
0,1,1524793756347,626,511,647,287,548,473,506,433,1,0,1
0,1,1524793756363,626,519,647,287,548,473,506,433,1,0,1
0,1,1524793756379,624,528,647,287,548,473,506,433,1,0,1
12,1,1524793756396,620,531,647,287,548,473,506,433,1,0,1
0,0,1524793756673,620,531,647,287,548,473,506,433,1,0,1
0,1,1524793756846,620,530,647,287,548,473,506,433,1,0,1
0,1,1524793756862,619,524,647,287,548,473,506,433,1,0,1
0,1,1524793756879,615,511,647,287,548,473,506,433,1,0,1
0,1,1524793756895,600,488,647,287,548,473,506,433,1,0,1
0,1,1524793756912,585,474,647,287,548,473,506,433,1,0,1
0,1,1524793756929,569,464,647,287,548,473,506,433,1,0,1
0,1,1524793756946,558,461,647,287,548,473,506,433,1,0,1
0,1,1524793756962,545,458,647,287,548,473,506,433,1,0,1
0,1,1524793756979,534,456,647,287,548,473,506,433,1,0,1
