Action,Time,correct_x,correct_y,event_type,op_x,op_y,scenario,slidebarleft_x,slidebarleft_y,slidebarright_x,slidebarright_y,terminal,Bot
0,1524555077457,526,747,0,1152,467,1,440,892,482,932,0,1
0,1524555077475,526,747,0,1157,473,1,440,892,482,932,0,
0,1524555077491,526,747,0,1161,478,1,440,892,482,932,0,
0,1524555077507,526,747,0,1164,481,1,440,892,482,932,0,
0,1524555077525,526,747,0,1165,482,1,440,892,482,932,0,
0,1524555077541,526,747,0,1165,483,1,440,892,482,932,0,
0,1524555077590,526,747,0,1164,483,1,440,892,482,932,0,
0,1524555077607,526,747,0,1163,481,1,440,892,482,932,0,
0,1524555077624,526,747,0,1161,479,1,440,892,482,932,0,
0,1524555077640,526,747,0,1160,477,1,440,892,482,932,0,
0,1524555077657,526,747,0,1159,477,1,440,892,482,932,0,
0,1524555077890,526,747,0,1161,477,1,440,892,482,932,0,
0,1524555077907,526,747,0,1167,477,1,440,892,482,932,0,
0,1524555077924,526,747,0,1179,477,1,440,892,482,932,0,
12,1524555077940,526,747,0,1193,481,1,440,892,482,932,0,
0,1524555078192,526,747,0,1193,481,1,440,892,482,932,0,
12,1524555085142,526,747,0,461,912,1,440,892,482,932,0,
0,1524555085149,526,747,0,461,912,1,440,892,482,932,0,
0,1524555085158,526,747,0,466,913,1,440,892,482,932,0,
0,1524555085158,526,747,0,466,913,1,440,892,482,932,0,
0,1524555085174,526,747,0,469,914,1,440,892,482,932,0,
0,1524555085175,526,747,0,469,914,1,440,892,482,932,0,
0,1524555085191,526,747,0,471,915,1,440,892,482,932,0,
0,1524555085192,526,747,0,471,915,1,440,892,482,932,0,
0,1524555085207,526,747,0,472,916,1,440,892,482,932,0,
0,1524555085209,526,747,0,472,916,1,440,892,482,932,0,
0,1524555085225,526,747,0,474,917,1,440,892,482,932,0,
0,1524555085226,526,747,0,474,917,1,440,892,482,932,0,
0,1524555085241,526,747,0,476,918,1,440,892,482,932,0,
0,1524555085242,526,747,0,476,918,1,440,892,482,932,0,
0,1524555085258,526,747,0,481,919,1,440,892,482,932,0,
0,1524555085258,526,747,0,481,919,1,440,892,482,932,0,
0,1524555085275,526,747,0,486,920,1,440,892,482,932,0,
0,1524555085276,526,747,0,486,920,1,440,892,482,932,0,
0,1524555085292,526,747,0,487,921,1,440,892,482,932,0,
0,1524555085293,526,747,0,487,921,1,440,892,482,932,0,
0,1524555085308,526,747,0,491,922,1,440,892,482,932,0,
0,1524555085309,526,747,0,491,922,1,440,892,482,932,0,
0,1524555085324,526,747,0,494,923,1,440,892,482,932,0,
0,1524555085325,526,747,0,494,923,1,440,892,482,932,0,
0,1524555085341,526,747,0,497,924,1,440,892,482,932,0,
0,1524555085342,526,747,0,497,924,1,440,892,482,932,0,
0,1524555085358,526,747,0,502,925,1,440,892,482,932,0,
0,1524555085359,526,747,0,502,925,1,440,892,482,932,0,
0,1524555085375,526,747,0,505,926,1,440,892,482,932,0,
0,1524555085375,526,747,0,505,926,1,440,892,482,932,0,
0,1524555085392,526,747,0,508,927,1,440,892,482,932,0,
0,1524555085393,526,747,0,508,927,1,440,892,482,932,0,
0,1524555085408,526,747,0,510,928,1,440,892,482,932,0,
0,1524555085409,526,747,0,510,928,1,440,892,482,932,0,
0,1524555085425,526,747,0,515,929,1,440,892,482,932,0,
0,1524555085428,526,747,0,515,929,1,440,892,482,932,0,
0,1524555085442,526,747,0,520,930,1,440,892,482,932,0,
0,1524555085442,526,747,0,520,930,1,440,892,482,932,0,
0,1524555085457,526,747,0,521,931,1,440,892,482,932,0,
0,1524555085458,526,747,0,521,931,1,440,892,482,932,0,
0,1524555085475,526,747,0,526,932,1,440,892,482,932,0,
0,1524555085476,526,747,0,526,932,1,440,892,482,932,0,
0,1524555085491,526,747,0,528,933,1,440,892,482,932,0,
0,1524555085492,526,747,0,528,933,1,440,892,482,932,0,
0,1524555085508,526,747,0,531,934,1,440,892,482,932,0,
0,1524555085508,526,747,0,531,934,1,440,892,482,932,0,
0,1524555085525,526,747,0,534,935,1,440,892,482,932,0,
0,1524555085526,526,747,0,534,935,1,440,892,482,932,0,
0,1524555085541,526,747,0,537,936,1,440,892,482,932,0,
0,1524555085542,526,747,0,537,936,1,440,892,482,932,0,
0,1524555085557,526,747,0,539,937,1,440,892,482,932,0,
0,1524555085558,526,747,0,539,937,1,440,892,482,932,0,
0,1524555085574,526,747,0,540,938,1,440,892,482,932,0,
0,1524555085576,526,747,0,540,938,1,440,892,482,932,0,
0,1524555085592,526,747,0,541,939,1,440,892,482,932,0,
0,1524555085594,526,747,0,541,939,1,440,892,482,932,0,
0,1524555085608,526,747,0,545,940,1,440,892,482,932,0,
0,1524555085608,526,747,0,545,940,1,440,892,482,932,0,
0,1524555085626,526,747,0,544,941,1,440,892,482,932,0,
0,1524555085627,526,747,0,544,941,1,440,892,482,932,0,
13,1524555085633,526,747,0,544,941,1,440,892,482,932,0,
