Action,event_type,Time,op_x,op_y,correct_x,correct_y,slidebarright_x,slidebarright_y,slidebarleft_x,slidebarleft_y,scenario,terminal,Bot
0,1,1524554890720,1080,675,573,810,482,932,440,892,1,0,1
0,1,1524554890820,1081,675,573,810,482,932,440,892,1,0,1
12,1,1524554890853,1082,675,573,810,482,932,440,892,1,0,1
0,0,1524554891184,1082,675,573,810,482,932,440,892,1,0,1
0,1,1524554891387,1082,674,573,810,482,932,440,892,1,0,1
0,1,1524554891432,1082,672,573,810,482,932,440,892,1,0,1
12,1,1524554891725,1084,664,573,810,482,932,440,892,1,0,1
0,0,1524554891986,1084,664,573,810,482,932,440,892,1,0,1
12,1,1524554900172,461,912,573,810,482,932,440,892,1,0,1
0,2,1524554900178,461,912,573,810,482,932,440,892,1,0,1
0,1,1524554900188,463,913,573,810,482,932,440,892,1,0,1
0,1,1524554900188,463,913,573,810,482,932,440,892,1,0,1
0,1,1524554900206,468,914,573,810,482,932,440,892,1,0,1
0,1,1524554900206,468,914,573,810,482,932,440,892,1,0,1
0,1,1524554900222,470,915,573,810,482,932,440,892,1,0,1
0,1,1524554900223,470,915,573,810,482,932,440,892,1,0,1
0,1,1524554900239,471,916,573,810,482,932,440,892,1,0,1
0,1,1524554900239,471,916,573,810,482,932,440,892,1,0,1
0,1,1524554900256,474,917,573,810,482,932,440,892,1,0,1
0,1,1524554900257,474,917,573,810,482,932,440,892,1,0,1
0,1,1524554900272,476,918,573,810,482,932,440,892,1,0,1
0,1,1524554900273,476,918,573,810,482,932,440,892,1,0,1
0,1,1524554900289,481,919,573,810,482,932,440,892,1,0,1
0,1,1524554900289,481,919,573,810,482,932,440,892,1,0,1
0,1,1524554900305,483,920,573,810,482,932,440,892,1,0,1
0,1,1524554900306,483,920,573,810,482,932,440,892,1,0,1
0,1,1524554900322,488,921,573,810,482,932,440,892,1,0,1
0,1,1524554900322,488,921,573,810,482,932,440,892,1,0,1
0,1,1524554900339,492,922,573,810,482,932,440,892,1,0,1
0,1,1524554900340,492,922,573,810,482,932,440,892,1,0,1
0,1,1524554900355,494,923,573,810,482,932,440,892,1,0,1
0,1,1524554900355,494,923,573,810,482,932,440,892,1,0,1
0,1,1524554900372,497,924,573,810,482,932,440,892,1,0,1
0,1,1524554900374,497,924,573,810,482,932,440,892,1,0,1
0,1,1524554900388,500,925,573,810,482,932,440,892,1,0,1
0,1,1524554900389,500,925,573,810,482,932,440,892,1,0,1
0,1,1524554900405,502,926,573,810,482,932,440,892,1,0,1
0,1,1524554900406,502,926,573,810,482,932,440,892,1,0,1
0,1,1524554900422,507,927,573,810,482,932,440,892,1,0,1
0,1,1524554900422,507,927,573,810,482,932,440,892,1,0,1
0,1,1524554900439,511,928,573,810,482,932,440,892,1,0,1
0,1,1524554900440,511,928,573,810,482,932,440,892,1,0,1
0,1,1524554900455,514,929,573,810,482,932,440,892,1,0,1
0,1,1524554900456,514,929,573,810,482,932,440,892,1,0,1
0,1,1524554900472,519,930,573,810,482,932,440,892,1,0,1
0,1,1524554900473,519,930,573,810,482,932,440,892,1,0,1
0,1,1524554900489,521,931,573,810,482,932,440,892,1,0,1
0,1,1524554900490,521,931,573,810,482,932,440,892,1,0,1
0,1,1524554900507,524,932,573,810,482,932,440,892,1,0,1
0,1,1524554900508,524,932,573,810,482,932,440,892,1,0,1
0,1,1524554900522,528,933,573,810,482,932,440,892,1,0,1
0,1,1524554900522,528,933,573,810,482,932,440,892,1,0,1
0,1,1524554900538,533,934,573,810,482,932,440,892,1,0,1
0,1,1524554900539,533,934,573,810,482,932,440,892,1,0,1
0,1,1524554900556,536,935,573,810,482,932,440,892,1,0,1
0,1,1524554900556,536,935,573,810,482,932,440,892,1,0,1
0,1,1524554900573,537,936,573,810,482,932,440,892,1,0,1
0,1,1524554900574,537,936,573,810,482,932,440,892,1,0,1
0,1,1524554900589,542,937,573,810,482,932,440,892,1,0,1
0,1,1524554900589,542,937,573,810,482,932,440,892,1,0,1
0,1,1524554900605,546,938,573,810,482,932,440,892,1,0,1
0,1,1524554900606,546,938,573,810,482,932,440,892,1,0,1
0,1,1524554900622,548,939,573,810,482,932,440,892,1,0,1
0,1,1524554900623,548,939,573,810,482,932,440,892,1,0,1
0,1,1524554900639,553,940,573,810,482,932,440,892,1,0,1
0,1,1524554900640,553,940,573,810,482,932,440,892,1,0,1
0,1,1524554900655,554,941,573,810,482,932,440,892,1,0,1
0,1,1524554900656,554,941,573,810,482,932,440,892,1,0,1
0,1,1524554900671,558,942,573,810,482,932,440,892,1,0,1
0,1,1524554900673,558,942,573,810,482,932,440,892,1,0,1
0,1,1524554900688,563,943,573,810,482,932,440,892,1,0,1
0,1,1524554900690,563,943,573,810,482,932,440,892,1,0,1
0,1,1524554900705,564,944,573,810,482,932,440,892,1,0,1
0,1,1524554900705,564,944,573,810,482,932,440,892,1,0,1
0,1,1524554900722,568,945,573,810,482,932,440,892,1,0,1
0,1,1524554900723,568,945,573,810,482,932,440,892,1,0,1
0,1,1524554900739,571,946,573,810,482,932,440,892,1,0,1
0,1,1524554900740,571,946,573,810,482,932,440,892,1,0,1
0,1,1524554900754,575,947,573,810,482,932,440,892,1,0,1
0,1,1524554900756,575,947,573,810,482,932,440,892,1,0,1
0,1,1524554900772,578,948,573,810,482,932,440,892,1,0,1
0,1,1524554900773,578,948,573,810,482,932,440,892,1,0,1
0,1,1524554900789,583,949,573,810,482,932,440,892,1,0,1
0,1,1524554900790,583,949,573,810,482,932,440,892,1,0,1
0,1,1524554900805,586,950,573,810,482,932,440,892,1,0,1
0,1,1524554900806,586,950,573,810,482,932,440,892,1,0,1
0,1,1524554900822,590,951,573,810,482,932,440,892,1,0,1
0,1,1524554900822,590,951,573,810,482,932,440,892,1,0,1
