Action,event_type,Time,op_x,op_y,correct_x,correct_y,slidebarright_x,slidebarright_y,slidebarleft_x,slidebarleft_y,scenario,terminal,Bot
0,1,1525309117512,579,461,729,353,514,486,472,446,1,0,1
0,1,1525309117528,577,461,729,353,514,486,472,446,1,0,1
0,1,1525309117538,574,461,729,353,514,486,472,446,1,0,1
0,1,1525309117553,572,461,729,353,514,486,472,446,1,0,1
0,1,1525309117560,567,462,729,353,514,486,472,446,1,0,1
0,1,1525309117570,566,463,729,353,514,486,472,446,1,0,1
0,1,1525309117583,564,463,729,353,514,486,472,446,1,0,1
0,1,1525309117584,561,463,729,353,514,486,472,446,1,0,1
0,1,1525309117596,559,463,729,353,514,486,472,446,1,0,1
0,1,1525309117611,554,464,729,353,514,486,472,446,1,0,1
0,1,1525309117626,550,464,729,353,514,486,472,446,1,0,1
0,1,1525309117644,545,464,729,353,514,486,472,446,1,0,1
0,1,1525309117649,542,464,729,353,514,486,472,446,1,0,1
0,1,1525309117659,541,464,729,353,514,486,472,446,1,0,1
0,1,1525309117665,538,465,729,353,514,486,472,446,1,0,1
0,1,1525309117675,536,465,729,353,514,486,472,446,1,0,1
0,1,1525309117690,532,465,729,353,514,486,472,446,1,0,1
0,1,1525309117707,529,465,729,353,514,486,472,446,1,0,1
0,1,1525309117724,527,465,729,353,514,486,472,446,1,0,1
0,1,1525309117738,525,465,729,353,514,486,472,446,1,0,1
0,1,1525309117753,524,465,729,353,514,486,472,446,1,0,1
0,1,1525309117768,523,465,729,353,514,486,472,446,1,0,1
0,1,1525309117785,522,465,729,353,514,486,472,446,1,0,1
0,1,1525309117802,521,465,729,353,514,486,472,446,1,0,1
0,1,1525309117816,519,465,729,353,514,486,472,446,1,0,1
0,1,1525309117833,517,465,729,353,514,486,472,446,1,0,1
0,1,1525309117849,514,465,729,353,514,486,472,446,1,0,1
0,1,1525309117867,513,465,729,353,514,486,472,446,1,0,1
0,1,1525309117882,509,465,729,353,514,486,472,446,1,0,1
0,1,1525309117898,506,465,729,353,514,486,472,446,1,0,1
0,1,1525309117913,502,465,729,353,514,486,472,446,1,0,1
0,1,1525309117929,499,465,729,353,514,486,472,446,1,0,1
0,1,1525309117945,497,465,729,353,514,486,472,446,1,0,1
0,1,1525309117961,496,465,729,353,514,486,472,446,1,0,1
0,1,1525309117976,495,465,729,353,514,486,472,446,1,0,1
0,1,1525309117986,494,465,729,353,514,486,472,446,1,0,1
0,1,1525309118000,494,465,729,353,514,486,472,446,1,0,1
12,1,1525309118025,494,465,729,353,514,486,472,446,1,0,1
0,0,1525309118327,494,465,729,353,514,486,472,446,1,0,1
0,2,1525309121781,494,465,729,353,514,486,472,446,1,0,1
0,1,1525309122309,495,465,729,353,514,486,472,446,1,0,1
0,1,1525309122310,495,465,729,353,514,486,472,446,1,0,1
0,1,1525309122318,496,465,729,353,514,486,472,446,1,0,1
0,1,1525309122326,497,465,729,353,514,486,472,446,1,0,1
0,1,1525309122336,497,465,729,353,514,486,472,446,1,0,1
0,1,1525309122342,499,465,729,353,514,486,472,446,1,0,1
0,1,1525309122351,500,465,729,353,514,486,472,446,1,0,1
0,1,1525309122358,502,465,729,353,514,486,472,446,1,0,1
0,1,1525309122368,503,465,729,353,514,486,472,446,1,0,1
0,1,1525309122372,506,465,729,353,514,486,472,446,1,0,1
0,1,1525309122373,506,465,729,353,514,486,472,446,1,0,1
0,1,1525309122383,507,465,729,353,514,486,472,446,1,0,1
0,1,1525309122384,507,465,729,353,514,486,472,446,1,0,1
0,1,1525309122389,510,465,729,353,514,486,472,446,1,0,1
0,1,1525309122390,510,465,729,353,514,486,472,446,1,0,1
0,1,1525309122399,512,465,729,353,514,486,472,446,1,0,1
0,1,1525309122405,514,466,729,353,514,486,472,446,1,0,1
0,1,1525309122415,516,466,729,353,514,486,472,446,1,0,1
0,1,1525309122416,516,466,729,353,514,486,472,446,1,0,1
0,1,1525309122421,519,466,729,353,514,486,472,446,1,0,1
0,1,1525309122422,519,466,729,353,514,486,472,446,1,0,1
