Time,key_event_type,dialog_type,mouse_event_type,op_x,op_y,Action,first_x,first_y,second_x,second_y,Session_Id,Bot,Unnamed: 13
1515652879554,,,1,637,189,-,292.65625,298.875,592.65625,342.875,1515652879318.0,1.0,
1515652879585,,,1,637,166,-,,,,,,,
1515652879622,,,1,637,151,-,,,,,,,
1515652879780,,,1,637,147,-,,,,,,,
1515652879796,,,1,640,140,-,,,,,,,
1515652879817,,,1,643,133,-,,,,,,,
1515652879830,,,1,647,130,-,,,,,,,
1515652879846,,,1,648,129,-,,,,,,,
1515652879863,,,1,650,127,-,,,,,,,
1515652879879,,,1,649,127,-,,,,,,,
1515652879899,,,1,640,135,-,,,,,,,
1515652879912,,,1,631,142,-,,,,,,,
1515652879928,,,1,623,147,-,,,,,,,
1515652879946,,,1,620,149,12,,,,,,,
1515652880339,,,0,620,149,-,,,,,,,
1515652880537,,,0,620,149,-,,,,,,,
1515652880643,,,1,587,593,-,,,,,,,
1515652880659,,,1,570,577,-,,,,,,,
1515652880677,,,1,559,558,-,,,,,,,
1515652880693,,,1,545,547,-,,,,,,,
1515652880710,,,1,526,531,-,,,,,,,
1515652880726,,,1,514,516,-,,,,,,,
1515652880743,,,1,496,502,-,,,,,,,
1515652880760,,,1,476,491,-,,,,,,,
1515652880777,,,1,460,475,-,,,,,,,
1515652880793,,,1,446,460,-,,,,,,,
1515652880810,,,1,432,449,-,,,,,,,
1515652880827,,,1,412,438,-,,,,,,,
1515652880844,,,1,396,427,-,,,,,,,
1515652880860,,,1,377,415,-,,,,,,,
1515652880877,,,1,367,397,-,,,,,,,
1515652880893,,,1,353,385,-,,,,,,,
1515652880910,,,1,334,370,-,,,,,,,
1515652880927,,,1,323,351,-,,,,,,,
1515652880943,,,1,313,338,-,,,,,,,
1515652880961,,,1,295,318,-,,,,,,,
1515652880977,,,1,277,299,-,,,,,,,
1515652880994,,,1,257,283,-,,,,,,,
1515652881010,,,1,238,266,-,,,,,,,
1515652881028,,,1,221,248,-,,,,,,,
1515652881044,,,1,202,236,-,,,,,,,
1515652881061,,,1,187,225,-,,,,,,,
1515652881078,,,1,177,207,-,,,,,,,
1515652881094,,,1,442,191,12,,,,,,,
1515652881095,,,2,442,191,-,,,,,,,
1515652881099,,,3,442,191,10,,,,,,,
1515652881339,,,0,442,191,-,,,,,,,
1515652881540,,,0,442,191,-,,,,,,,
1515652881737,,,0,442,191,-,,,,,,,
1515652881925,6.0,,0,442,191,,,,,,,,
1515652881936,,,0,442,191,-,,,,,,,
1515652881950,,,1,442,255,12,,,,,,,
1515652881951,,,2,442,255,-,,,,,,,
1515652881953,,,3,442,255,10,,,,,,,
1515652882035,7.0,,0,442,255,,,,,,,,
1515652882141,6.0,,0,442,255,,,,,,,,
1515652882249,7.0,,0,442,255,,,,,,,,
1515652882339,,,0,442,255,-,,,,,,,
1515652882356,6.0,,0,442,255,,,,,,,,
1515652882461,7.0,,0,442,255,,,,,,,,
1515652882536,,,0,442,255,-,,,,,,,
1515652882568,6.0,,0,442,255,,,,,,,,
1515652882674,7.0,,0,442,255,,,,,,,,
1515652882740,,,0,442,255,-,,,,,,,
1515652882777,6.0,,0,442,255,,,,,,,,
1515652882790,,,1,442,321,12,,,,,,,
1515652882791,,,2,442,321,-,,,,,,,
1515652882793,,,3,442,321,10,,,,,,,
