Action,event_type,Time,op_x,op_y,correct_x,correct_y,slidebarright_x,slidebarright_y,slidebarleft_x,slidebarleft_y,scenario,terminal,Bot
12,1,1520580898710,461,912,655,756,482,932,440,892,1,0,1
0,2,1520580898717,461,912,655,756,482,932,440,892,1,0,1
0,1,1520580898726,462,913,655,756,482,932,440,892,1,0,1
0,1,1520580898727,462,913,655,756,482,932,440,892,1,0,1
0,1,1520580898744,467,914,655,756,482,932,440,892,1,0,1
0,1,1520580898744,467,914,655,756,482,932,440,892,1,0,1
0,1,1520580898760,471,915,655,756,482,932,440,892,1,0,1
0,1,1520580898760,471,915,655,756,482,932,440,892,1,0,1
0,1,1520580898776,472,916,655,756,482,932,440,892,1,0,1
0,1,1520580898777,472,916,655,756,482,932,440,892,1,0,1
0,1,1520580898794,474,917,655,756,482,932,440,892,1,0,1
0,1,1520580898795,474,917,655,756,482,932,440,892,1,0,1
0,1,1520580898810,478,918,655,756,482,932,440,892,1,0,1
0,1,1520580898811,478,918,655,756,482,932,440,892,1,0,1
0,1,1520580898826,482,919,655,756,482,932,440,892,1,0,1
0,1,1520580898828,482,919,655,756,482,932,440,892,1,0,1
0,1,1520580898844,486,920,655,756,482,932,440,892,1,0,1
0,1,1520580898845,486,920,655,756,482,932,440,892,1,0,1
0,1,1520580898860,489,921,655,756,482,932,440,892,1,0,1
0,1,1520580898861,489,921,655,756,482,932,440,892,1,0,1
0,1,1520580898877,490,922,655,756,482,932,440,892,1,0,1
0,1,1520580898878,490,922,655,756,482,932,440,892,1,0,1
0,1,1520580898892,491,923,655,756,482,932,440,892,1,0,1
0,1,1520580898893,491,923,655,756,482,932,440,892,1,0,1
0,1,1520580898910,493,924,655,756,482,932,440,892,1,0,1
0,1,1520580898911,493,924,655,756,482,932,440,892,1,0,1
0,1,1520580898926,497,925,655,756,482,932,440,892,1,0,1
0,1,1520580898928,497,925,655,756,482,932,440,892,1,0,1
0,1,1520580898944,502,926,655,756,482,932,440,892,1,0,1
0,1,1520580898945,502,926,655,756,482,932,440,892,1,0,1
0,1,1520580898960,505,927,655,756,482,932,440,892,1,0,1
0,1,1520580898961,505,927,655,756,482,932,440,892,1,0,1
0,1,1520580898976,507,928,655,756,482,932,440,892,1,0,1
0,1,1520580898978,507,928,655,756,482,932,440,892,1,0,1
0,1,1520580898993,509,929,655,756,482,932,440,892,1,0,1
0,1,1520580898994,509,929,655,756,482,932,440,892,1,0,1
0,1,1520580899010,512,930,655,756,482,932,440,892,1,0,1
0,1,1520580899011,512,930,655,756,482,932,440,892,1,0,1
0,1,1520580899027,513,931,655,756,482,932,440,892,1,0,1
0,1,1520580899028,513,931,655,756,482,932,440,892,1,0,1
0,1,1520580899043,518,932,655,756,482,932,440,892,1,0,1
0,1,1520580899044,518,932,655,756,482,932,440,892,1,0,1
0,1,1520580899060,521,933,655,756,482,932,440,892,1,0,1
0,1,1520580899062,521,933,655,756,482,932,440,892,1,0,1
0,1,1520580899077,525,934,655,756,482,932,440,892,1,0,1
0,1,1520580899078,525,934,655,756,482,932,440,892,1,0,1
0,1,1520580899093,526,935,655,756,482,932,440,892,1,0,1
0,1,1520580899093,526,935,655,756,482,932,440,892,1,0,1
0,1,1520580899110,529,936,655,756,482,932,440,892,1,0,1
0,1,1520580899111,529,936,655,756,482,932,440,892,1,0,1
0,1,1520580899127,533,937,655,756,482,932,440,892,1,0,1
0,1,1520580899127,533,937,655,756,482,932,440,892,1,0,1
0,1,1520580899143,536,938,655,756,482,932,440,892,1,0,1
0,1,1520580899144,536,938,655,756,482,932,440,892,1,0,1
0,1,1520580899160,541,939,655,756,482,932,440,892,1,0,1
0,1,1520580899161,541,939,655,756,482,932,440,892,1,0,1
0,1,1520580899176,546,940,655,756,482,932,440,892,1,0,1
0,1,1520580899178,546,940,655,756,482,932,440,892,1,0,1
0,1,1520580899193,549,941,655,756,482,932,440,892,1,0,1
0,1,1520580899193,549,941,655,756,482,932,440,892,1,0,1
0,1,1520580899209,552,942,655,756,482,932,440,892,1,0,1
0,1,1520580899211,552,942,655,756,482,932,440,892,1,0,1
0,1,1520580899226,557,943,655,756,482,932,440,892,1,0,1
0,1,1520580899228,557,943,655,756,482,932,440,892,1,0,1
0,1,1520580899243,561,944,655,756,482,932,440,892,1,0,1
0,1,1520580899243,561,944,655,756,482,932,440,892,1,0,1
0,1,1520580899260,566,945,655,756,482,932,440,892,1,0,1
0,1,1520580899261,566,945,655,756,482,932,440,892,1,0,1
0,1,1520580899276,571,946,655,756,482,932,440,892,1,0,1
0,1,1520580899278,571,946,655,756,482,932,440,892,1,0,1
0,1,1520580899294,576,947,655,756,482,932,440,892,1,0,1
0,1,1520580899294,576,947,655,756,482,932,440,892,1,0,1
0,1,1520580899310,581,948,655,756,482,932,440,892,1,0,1
0,1,1520580899312,581,948,655,756,482,932,440,892,1,0,1
0,1,1520580899326,583,949,655,756,482,932,440,892,1,0,1
0,1,1520580899327,583,949,655,756,482,932,440,892,1,0,1
0,1,1520580899343,585,950,655,756,482,932,440,892,1,0,1
0,1,1520580899344,585,950,655,756,482,932,440,892,1,0,1
0,1,1520580899360,588,951,655,756,482,932,440,892,1,0,1
0,1,1520580899361,588,951,655,756,482,932,440,892,1,0,1
0,1,1520580899377,593,952,655,756,482,932,440,892,1,0,1
0,1,1520580899378,593,952,655,756,482,932,440,892,1,0,1
0,1,1520580899392,596,953,655,756,482,932,440,892,1,0,1
0,1,1520580899393,596,953,655,756,482,932,440,892,1,0,1
0,1,1520580899409,601,954,655,756,482,932,440,892,1,0,1
0,1,1520580899411,601,954,655,756,482,932,440,892,1,0,1
0,1,1520580899427,604,955,655,756,482,932,440,892,1,0,1
0,1,1520580899427,604,955,655,756,482,932,440,892,1,0,1
0,1,1520580899443,608,956,655,756,482,932,440,892,1,0,1
0,1,1520580899444,608,956,655,756,482,932,440,892,1,0,1
0,1,1520580899459,609,957,655,756,482,932,440,892,1,0,1
0,1,1520580899461,609,957,655,756,482,932,440,892,1,0,1
0,1,1520580899476,613,958,655,756,482,932,440,892,1,0,1
0,1,1520580899479,613,958,655,756,482,932,440,892,1,0,1
0,1,1520580899494,617,959,655,756,482,932,440,892,1,0,1
0,1,1520580899494,617,959,655,756,482,932,440,892,1,0,1
0,1,1520580899510,619,960,655,756,482,932,440,892,1,0,1
0,1,1520580899511,619,960,655,756,482,932,440,892,1,0,1
0,1,1520580899527,621,961,655,756,482,932,440,892,1,0,1
0,1,1520580899528,621,961,655,756,482,932,440,892,1,0,1
0,1,1520580899543,624,962,655,756,482,932,440,892,1,0,1
0,1,1520580899544,624,962,655,756,482,932,440,892,1,0,1
0,1,1520580899560,629,963,655,756,482,932,440,892,1,0,1
0,1,1520580899561,629,963,655,756,482,932,440,892,1,0,1
0,1,1520580899576,631,964,655,756,482,932,440,892,1,0,1
0,1,1520580899578,631,964,655,756,482,932,440,892,1,0,1
0,1,1520580899593,633,965,655,756,482,932,440,892,1,0,1
0,1,1520580899594,633,965,655,756,482,932,440,892,1,0,1
0,1,1520580899611,634,966,655,756,482,932,440,892,1,0,1
0,1,1520580899613,634,966,655,756,482,932,440,892,1,0,1
0,1,1520580899627,639,967,655,756,482,932,440,892,1,0,1
0,1,1520580899628,639,967,655,756,482,932,440,892,1,0,1
0,1,1520580899644,644,968,655,756,482,932,440,892,1,0,1
0,1,1520580899644,644,968,655,756,482,932,440,892,1,0,1
0,1,1520580899660,647,969,655,756,482,932,440,892,1,0,1
0,1,1520580899662,647,969,655,756,482,932,440,892,1,0,1
0,1,1520580899677,650,970,655,756,482,932,440,892,1,0,1
0,1,1520580899677,650,970,655,756,482,932,440,892,1,0,1
0,1,1520580899694,653,971,655,756,482,932,440,892,1,0,1
0,1,1520580899695,653,971,655,756,482,932,440,892,1,0,1
0,1,1520580899711,654,972,655,756,482,932,440,892,1,0,1
0,1,1520580899712,654,972,655,756,482,932,440,892,1,0,1
0,1,1520580899727,659,973,655,756,482,932,440,892,1,0,1
0,1,1520580899729,659,973,655,756,482,932,440,892,1,0,1
0,1,1520580899743,661,974,655,756,482,932,440,892,1,0,1
0,1,1520580899744,661,974,655,756,482,932,440,892,1,0,1
0,1,1520580899760,664,975,655,756,482,932,440,892,1,0,1
0,1,1520580899762,664,975,655,756,482,932,440,892,1,0,1
0,1,1520580899777,668,976,655,756,482,932,440,892,1,0,1
0,1,1520580899778,668,976,655,756,482,932,440,892,1,0,1
0,1,1520580899794,669,977,655,756,482,932,440,892,1,0,1
0,1,1520580899794,669,977,655,756,482,932,440,892,1,0,1
0,1,1520580899811,673,978,655,756,482,932,440,892,1,0,1
0,1,1520580899812,673,978,655,756,482,932,440,892,1,0,1
