Action,event_type,Time,op_x,op_y,correct_x,correct_y,slidebarright_x,slidebarright_y,slidebarleft_x,slidebarleft_y,scenario,terminal,Bot
0,1,1524555077457,1152,467,526,747,482,932,440,892,1,0,1
0,1,1524555077475,1157,473,526,747,482,932,440,892,1,0,1
0,1,1524555077491,1161,478,526,747,482,932,440,892,1,0,1
0,1,1524555077507,1164,481,526,747,482,932,440,892,1,0,1
0,1,1524555077525,1165,482,526,747,482,932,440,892,1,0,1
0,1,1524555077541,1165,483,526,747,482,932,440,892,1,0,1
0,1,1524555077590,1164,483,526,747,482,932,440,892,1,0,1
0,1,1524555077607,1163,481,526,747,482,932,440,892,1,0,1
0,1,1524555077624,1161,479,526,747,482,932,440,892,1,0,1
0,1,1524555077640,1160,477,526,747,482,932,440,892,1,0,1
0,1,1524555077657,1159,477,526,747,482,932,440,892,1,0,1
0,1,1524555077890,1161,477,526,747,482,932,440,892,1,0,1
0,1,1524555077907,1167,477,526,747,482,932,440,892,1,0,1
0,1,1524555077924,1179,477,526,747,482,932,440,892,1,0,1
12,1,1524555077940,1193,481,526,747,482,932,440,892,1,0,1
0,0,1524555078192,1193,481,526,747,482,932,440,892,1,0,1
12,1,1524555085142,461,912,526,747,482,932,440,892,1,0,1
0,2,1524555085149,461,912,526,747,482,932,440,892,1,0,1
0,1,1524555085158,466,913,526,747,482,932,440,892,1,0,1
0,1,1524555085158,466,913,526,747,482,932,440,892,1,0,1
0,1,1524555085174,469,914,526,747,482,932,440,892,1,0,1
0,1,1524555085175,469,914,526,747,482,932,440,892,1,0,1
0,1,1524555085191,471,915,526,747,482,932,440,892,1,0,1
0,1,1524555085192,471,915,526,747,482,932,440,892,1,0,1
0,1,1524555085207,472,916,526,747,482,932,440,892,1,0,1
0,1,1524555085209,472,916,526,747,482,932,440,892,1,0,1
0,1,1524555085225,474,917,526,747,482,932,440,892,1,0,1
0,1,1524555085226,474,917,526,747,482,932,440,892,1,0,1
0,1,1524555085241,476,918,526,747,482,932,440,892,1,0,1
0,1,1524555085242,476,918,526,747,482,932,440,892,1,0,1
0,1,1524555085258,481,919,526,747,482,932,440,892,1,0,1
0,1,1524555085258,481,919,526,747,482,932,440,892,1,0,1
0,1,1524555085275,486,920,526,747,482,932,440,892,1,0,1
0,1,1524555085276,486,920,526,747,482,932,440,892,1,0,1
0,1,1524555085292,487,921,526,747,482,932,440,892,1,0,1
0,1,1524555085293,487,921,526,747,482,932,440,892,1,0,1
0,1,1524555085308,491,922,526,747,482,932,440,892,1,0,1
0,1,1524555085309,491,922,526,747,482,932,440,892,1,0,1
0,1,1524555085324,494,923,526,747,482,932,440,892,1,0,1
0,1,1524555085325,494,923,526,747,482,932,440,892,1,0,1
0,1,1524555085341,497,924,526,747,482,932,440,892,1,0,1
0,1,1524555085342,497,924,526,747,482,932,440,892,1,0,1
0,1,1524555085358,502,925,526,747,482,932,440,892,1,0,1
0,1,1524555085359,502,925,526,747,482,932,440,892,1,0,1
0,1,1524555085375,505,926,526,747,482,932,440,892,1,0,1
0,1,1524555085375,505,926,526,747,482,932,440,892,1,0,1
0,1,1524555085392,508,927,526,747,482,932,440,892,1,0,1
0,1,1524555085393,508,927,526,747,482,932,440,892,1,0,1
0,1,1524555085408,510,928,526,747,482,932,440,892,1,0,1
0,1,1524555085409,510,928,526,747,482,932,440,892,1,0,1
0,1,1524555085425,515,929,526,747,482,932,440,892,1,0,1
0,1,1524555085428,515,929,526,747,482,932,440,892,1,0,1
0,1,1524555085442,520,930,526,747,482,932,440,892,1,0,1
0,1,1524555085442,520,930,526,747,482,932,440,892,1,0,1
0,1,1524555085457,521,931,526,747,482,932,440,892,1,0,1
0,1,1524555085458,521,931,526,747,482,932,440,892,1,0,1
0,1,1524555085475,526,932,526,747,482,932,440,892,1,0,1
0,1,1524555085476,526,932,526,747,482,932,440,892,1,0,1
0,1,1524555085491,528,933,526,747,482,932,440,892,1,0,1
0,1,1524555085492,528,933,526,747,482,932,440,892,1,0,1
0,1,1524555085508,531,934,526,747,482,932,440,892,1,0,1
0,1,1524555085508,531,934,526,747,482,932,440,892,1,0,1
0,1,1524555085525,534,935,526,747,482,932,440,892,1,0,1
0,1,1524555085526,534,935,526,747,482,932,440,892,1,0,1
0,1,1524555085541,537,936,526,747,482,932,440,892,1,0,1
0,1,1524555085542,537,936,526,747,482,932,440,892,1,0,1
0,1,1524555085557,539,937,526,747,482,932,440,892,1,0,1
0,1,1524555085558,539,937,526,747,482,932,440,892,1,0,1
0,1,1524555085574,540,938,526,747,482,932,440,892,1,0,1
0,1,1524555085576,540,938,526,747,482,932,440,892,1,0,1
0,1,1524555085592,541,939,526,747,482,932,440,892,1,0,1
0,1,1524555085594,541,939,526,747,482,932,440,892,1,0,1
0,1,1524555085608,545,940,526,747,482,932,440,892,1,0,1
0,1,1524555085608,545,940,526,747,482,932,440,892,1,0,1
0,1,1524555085626,544,941,526,747,482,932,440,892,1,0,1
0,1,1524555085627,544,941,526,747,482,932,440,892,1,0,1
13,3,1524555085633,544,941,526,747,482,932,440,892,1,0,1
