Action,Time,correct_x,correct_y,event_type,op_x,op_y,scenario,slidebarleft_x,slidebarleft_y,slidebarright_x,slidebarright_y,terminal,Bot
12,1524554755872,663,817,0,1194,543,1,440,892,482,932,0,1
0,1524554756180,663,817,0,1194,543,1,440,892,482,932,0,1
0,1524554757178,663,817,0,582,673,1,440,892,482,932,0,
0,1524554757207,663,817,0,572,681,1,440,892,482,932,0,
0,1524554757381,663,817,0,553,680,1,440,892,482,932,0,
12,1524554757423,663,817,0,440,698,1,440,892,482,932,0,
0,1524554757779,663,817,0,440,698,1,440,892,482,932,0,
12,1524554758532,663,817,0,0,834,1,440,892,482,932,0,
0,1524554758782,663,817,0,0,834,1,440,892,482,932,0,
12,1524554771408,663,817,0,461,912,1,440,892,482,932,0,
0,1524554771452,663,817,0,461,912,1,440,892,482,932,0,
0,1524554771474,663,817,0,462,913,1,440,892,482,932,0,
0,1524554771475,663,817,0,462,913,1,440,892,482,932,0,
0,1524554771508,663,817,0,464,914,1,440,892,482,932,0,
0,1524554771508,663,817,0,464,914,1,440,892,482,932,0,
0,1524554771524,663,817,0,468,915,1,440,892,482,932,0,
0,1524554771524,663,817,0,468,915,1,440,892,482,932,0,
0,1524554771557,663,817,0,470,916,1,440,892,482,932,0,
0,1524554771558,663,817,0,470,916,1,440,892,482,932,0,
0,1524554771592,663,817,0,471,917,1,440,892,482,932,0,
0,1524554771593,663,817,0,471,917,1,440,892,482,932,0,
0,1524554771607,663,817,0,473,918,1,440,892,482,932,0,
0,1524554771608,663,817,0,473,918,1,440,892,482,932,0,
0,1524554771624,663,817,0,476,919,1,440,892,482,932,0,
0,1524554771625,663,817,0,476,919,1,440,892,482,932,0,
0,1524554771657,663,817,0,477,920,1,440,892,482,932,0,
0,1524554771658,663,817,0,477,920,1,440,892,482,932,0,
0,1524554771691,663,817,0,479,921,1,440,892,482,932,0,
0,1524554771693,663,817,0,479,921,1,440,892,482,932,0,
0,1524554771727,663,817,0,481,922,1,440,892,482,932,0,
0,1524554771728,663,817,0,481,922,1,440,892,482,932,0,
0,1524554771776,663,817,0,484,923,1,440,892,482,932,0,
0,1524554771777,663,817,0,484,923,1,440,892,482,932,0,
0,1524554771806,663,817,0,487,924,1,440,892,482,932,0,
0,1524554771808,663,817,0,487,924,1,440,892,482,932,0,
0,1524554771838,663,817,0,490,925,1,440,892,482,932,0,
0,1524554771839,663,817,0,490,925,1,440,892,482,932,0,
0,1524554771872,663,817,0,493,926,1,440,892,482,932,0,
0,1524554771881,663,817,0,493,926,1,440,892,482,932,0,
0,1524554771895,663,817,0,497,927,1,440,892,482,932,0,
0,1524554771897,663,817,0,497,927,1,440,892,482,932,0,
0,1524554771931,663,817,0,499,928,1,440,892,482,932,0,
0,1524554771932,663,817,0,499,928,1,440,892,482,932,0,
0,1524554771988,663,817,0,501,929,1,440,892,482,932,0,
0,1524554771989,663,817,0,501,929,1,440,892,482,932,0,
0,1524554772046,663,817,0,502,930,1,440,892,482,932,0,
0,1524554772047,663,817,0,502,930,1,440,892,482,932,0,
0,1524554772079,663,817,0,505,931,1,440,892,482,932,0,
0,1524554772080,663,817,0,505,931,1,440,892,482,932,0,
0,1524554772115,663,817,0,509,932,1,440,892,482,932,0,
0,1524554772115,663,817,0,509,932,1,440,892,482,932,0,
0,1524554772176,663,817,0,511,933,1,440,892,482,932,0,
0,1524554772177,663,817,0,511,933,1,440,892,482,932,0,
0,1524554772196,663,817,0,512,934,1,440,892,482,932,0,
0,1524554772197,663,817,0,512,934,1,440,892,482,932,0,
0,1524554772222,663,817,0,513,935,1,440,892,482,932,0,
0,1524554772224,663,817,0,513,935,1,440,892,482,932,0,
0,1524554772253,663,817,0,515,936,1,440,892,482,932,0,
