Action,Bot,Time,correct_x,correct_y,event_type,op_x,op_y,scenario,slidebarleft_x,slidebarleft_y,slidebarright_x,slidebarright_y,terminal
0,1,1524555597999,954,475,0,960,426,1,800,559,842,599,0
0,1,1524555598017,954,475,0,964,431,1,800,559,842,599,0
0,1,1524555598033,954,475,0,980,449,1,800,559,842,599,0
0,1,1524555598051,954,475,0,1001,469,1,800,559,842,599,0
0,1,1524555598067,954,475,0,1004,473,1,800,559,842,599,0
0,1,1524555598083,954,475,0,1008,475,1,800,559,842,599,0
0,1,1524555598099,954,475,0,1009,476,1,800,559,842,599,0
0,1,1524555598116,954,475,0,1009,478,1,800,559,842,599,0
0,1,1524555598135,954,475,0,1011,480,1,800,559,842,599,0
0,1,1524555598150,954,475,0,1011,482,1,800,559,842,599,0
0,1,1524555598285,954,475,0,1011,486,1,800,559,842,599,0
0,1,1524555598301,954,475,0,1011,487,1,800,559,842,599,0
0,1,1524555598317,954,475,0,1011,489,1,800,559,842,599,0
0,1,1524555598332,954,475,0,1011,491,1,800,559,842,599,0
0,1,1524555598353,954,475,0,1011,493,1,800,559,842,599,0
0,1,1524555598366,954,475,0,1013,497,1,800,559,842,599,0
0,1,1524555598385,954,475,0,1014,501,1,800,559,842,599,0
0,1,1524555598398,954,475,0,1015,506,1,800,559,842,599,0
0,1,1524555598416,954,475,0,1015,514,1,800,559,842,599,0
0,1,1524555598432,954,475,0,1011,525,1,800,559,842,599,0
0,1,1524555598450,954,475,0,1006,535,1,800,559,842,599,0
0,1,1524555598464,954,475,0,1000,544,1,800,559,842,599,0
0,1,1524555598484,954,475,0,996,549,1,800,559,842,599,0
0,1,1524555598502,954,475,0,991,551,1,800,559,842,599,0
0,1,1524555598515,954,475,0,983,554,1,800,559,842,599,0
0,1,1524555598551,954,475,0,959,557,1,800,559,842,599,0
0,1,1524555598648,954,475,0,874,577,1,800,559,842,599,0
0,1,1524555598666,954,475,0,871,577,1,800,559,842,599,0
0,1,1524555598683,954,475,0,863,576,1,800,559,842,599,0
0,1,1524555598699,954,475,0,857,576,1,800,559,842,599,0
0,1,1524555598715,954,475,0,851,576,1,800,559,842,599,0
0,1,1524555598733,954,475,0,847,576,1,800,559,842,599,0
0,1,1524555598749,954,475,0,843,575,1,800,559,842,599,0
0,1,1524555598767,954,475,0,840,575,1,800,559,842,599,0
12,1,1524555598814,954,475,0,839,575,1,800,559,842,599,0
0,1,1524555599038,954,475,0,839,575,1,800,559,842,599,0
0,1,1524555599049,954,475,0,838,575,1,800,559,842,599,0
0,1,1524555599085,954,475,0,836,575,1,800,559,842,599,0
12,1,1524555599100,954,475,0,835,575,1,800,559,842,599,0
0,1,1524555599156,954,475,0,835,575,1,800,559,842,599,0
0,1,1524555599166,954,475,0,834,575,1,800,559,842,599,0
0,1,1524555599169,954,475,0,834,575,1,800,559,842,599,0
0,1,1524555599182,954,475,0,834,575,1,800,559,842,599,0
0,1,1524555599184,954,475,0,834,575,1,800,559,842,599,0
0,1,1524555599282,954,475,0,833,578,1,800,559,842,599,0
0,1,1524555599284,954,475,0,833,578,1,800,559,842,599,0
0,1,1524555599298,954,475,0,841,581,1,800,559,842,599,0
0,1,1524555599300,954,475,0,841,581,1,800,559,842,599,0
0,1,1524555599315,954,475,0,851,584,1,800,559,842,599,0
0,1,1524555599316,954,475,0,851,584,1,800,559,842,599,0
0,1,1524555599333,954,475,0,862,585,1,800,559,842,599,0
0,1,1524555599336,954,475,0,862,585,1,800,559,842,599,0
0,1,1524555599349,954,475,0,872,588,1,800,559,842,599,0
0,1,1524555599350,954,475,0,872,588,1,800,559,842,599,0
0,1,1524555599365,954,475,0,879,588,1,800,559,842,599,0
0,1,1524555599366,954,475,0,879,588,1,800,559,842,599,0
0,1,1524555599381,954,475,0,885,590,1,800,559,842,599,0
0,1,1524555599383,954,475,0,885,590,1,800,559,842,599,0
0,1,1524555599397,954,475,0,892,592,1,800,559,842,599,0
0,1,1524555599399,954,475,0,892,592,1,800,559,842,599,0
0,1,1524555599415,954,475,0,897,592,1,800,559,842,599,0
0,1,1524555599416,954,475,0,897,592,1,800,559,842,599,0
0,1,1524555599432,954,475,0,900,594,1,800,559,842,599,0
0,1,1524555599434,954,475,0,900,594,1,800,559,842,599,0
0,1,1524555599466,954,475,0,907,594,1,800,559,842,599,0
0,1,1524555599466,954,475,0,907,594,1,800,559,842,599,0
0,1,1524555599482,954,475,0,911,594,1,800,559,842,599,0
0,1,1524555599482,954,475,0,911,594,1,800,559,842,599,0
0,1,1524555599499,954,475,0,917,594,1,800,559,842,599,0
0,1,1524555599500,954,475,0,917,594,1,800,559,842,599,0
0,1,1524555599514,954,475,0,928,594,1,800,559,842,599,0
0,1,1524555599515,954,475,0,928,594,1,800,559,842,599,0
0,1,1524555599531,954,475,0,930,594,1,800,559,842,599,0
0,1,1524555599532,954,475,0,930,594,1,800,559,842,599,0
0,1,1524555599548,954,475,0,933,594,1,800,559,842,599,0
0,1,1524555599549,954,475,0,933,594,1,800,559,842,599,0
0,1,1524555599565,954,475,0,935,593,1,800,559,842,599,0
0,1,1524555599566,954,475,0,935,593,1,800,559,842,599,0
0,1,1524555599580,954,475,0,937,593,1,800,559,842,599,0
0,1,1524555599582,954,475,0,937,593,1,800,559,842,599,0
