Action,event_type,Time,op_x,op_y,correct_x,correct_y,slidebarright_x,slidebarright_y,slidebarleft_x,slidebarleft_y,scenario,terminal,Bot
12,1,1524554755872,1194,543,663,817,482,932,440,892,1,0,1
0,0,1524554756180,1194,543,663,817,482,932,440,892,1,0,1
0,1,1524554757178,582,673,663,817,482,932,440,892,1,0,1
0,1,1524554757207,572,681,663,817,482,932,440,892,1,0,1
0,1,1524554757381,553,680,663,817,482,932,440,892,1,0,1
12,1,1524554757423,440,698,663,817,482,932,440,892,1,0,1
0,0,1524554757779,440,698,663,817,482,932,440,892,1,0,1
12,1,1524554758532,0,834,663,817,482,932,440,892,1,0,1
0,0,1524554758782,0,834,663,817,482,932,440,892,1,0,1
12,1,1524554771408,461,912,663,817,482,932,440,892,1,0,1
0,2,1524554771452,461,912,663,817,482,932,440,892,1,0,1
0,1,1524554771474,462,913,663,817,482,932,440,892,1,0,1
0,1,1524554771475,462,913,663,817,482,932,440,892,1,0,1
0,1,1524554771508,464,914,663,817,482,932,440,892,1,0,1
0,1,1524554771508,464,914,663,817,482,932,440,892,1,0,1
0,1,1524554771524,468,915,663,817,482,932,440,892,1,0,1
0,1,1524554771524,468,915,663,817,482,932,440,892,1,0,1
0,1,1524554771557,470,916,663,817,482,932,440,892,1,0,1
0,1,1524554771558,470,916,663,817,482,932,440,892,1,0,1
0,1,1524554771592,471,917,663,817,482,932,440,892,1,0,1
0,1,1524554771593,471,917,663,817,482,932,440,892,1,0,1
0,1,1524554771607,473,918,663,817,482,932,440,892,1,0,1
0,1,1524554771608,473,918,663,817,482,932,440,892,1,0,1
0,1,1524554771624,476,919,663,817,482,932,440,892,1,0,1
0,1,1524554771625,476,919,663,817,482,932,440,892,1,0,1
0,1,1524554771657,477,920,663,817,482,932,440,892,1,0,1
0,1,1524554771658,477,920,663,817,482,932,440,892,1,0,1
0,1,1524554771691,479,921,663,817,482,932,440,892,1,0,1
0,1,1524554771693,479,921,663,817,482,932,440,892,1,0,1
0,1,1524554771727,481,922,663,817,482,932,440,892,1,0,1
0,1,1524554771728,481,922,663,817,482,932,440,892,1,0,1
0,1,1524554771776,484,923,663,817,482,932,440,892,1,0,1
0,1,1524554771777,484,923,663,817,482,932,440,892,1,0,1
0,1,1524554771806,487,924,663,817,482,932,440,892,1,0,1
0,1,1524554771808,487,924,663,817,482,932,440,892,1,0,1
0,1,1524554771838,490,925,663,817,482,932,440,892,1,0,1
0,1,1524554771839,490,925,663,817,482,932,440,892,1,0,1
0,1,1524554771872,493,926,663,817,482,932,440,892,1,0,1
0,1,1524554771881,493,926,663,817,482,932,440,892,1,0,1
0,1,1524554771895,497,927,663,817,482,932,440,892,1,0,1
0,1,1524554771897,497,927,663,817,482,932,440,892,1,0,1
0,1,1524554771931,499,928,663,817,482,932,440,892,1,0,1
0,1,1524554771932,499,928,663,817,482,932,440,892,1,0,1
0,1,1524554771988,501,929,663,817,482,932,440,892,1,0,1
0,1,1524554771989,501,929,663,817,482,932,440,892,1,0,1
0,1,1524554772046,502,930,663,817,482,932,440,892,1,0,1
0,1,1524554772047,502,930,663,817,482,932,440,892,1,0,1
0,1,1524554772079,505,931,663,817,482,932,440,892,1,0,1
0,1,1524554772080,505,931,663,817,482,932,440,892,1,0,1
0,1,1524554772115,509,932,663,817,482,932,440,892,1,0,1
0,1,1524554772115,509,932,663,817,482,932,440,892,1,0,1
0,1,1524554772176,511,933,663,817,482,932,440,892,1,0,1
0,1,1524554772177,511,933,663,817,482,932,440,892,1,0,1
0,1,1524554772196,512,934,663,817,482,932,440,892,1,0,1
0,1,1524554772197,512,934,663,817,482,932,440,892,1,0,1
0,1,1524554772222,513,935,663,817,482,932,440,892,1,0,1
0,1,1524554772224,513,935,663,817,482,932,440,892,1,0,1
0,1,1524554772253,515,936,663,817,482,932,440,892,1,0,1
0,1,1524554772254,515,936,663,817,482,932,440,892,1,0,1
0,1,1524554772284,520,937,663,817,482,932,440,892,1,0,1
0,1,1524554772285,520,937,663,817,482,932,440,892,1,0,1
0,1,1524554772309,525,938,663,817,482,932,440,892,1,0,1
0,1,1524554772310,525,938,663,817,482,932,440,892,1,0,1
