WBS Number,Title,开始,结束,Time,Effort,%Done,Cost,Assigned,Planned Start,Start Variance,Planned End,End Variance,Constraint Start,Constraint End,Prerequisites,NoteContents,Priority,Resources Cost,Total Task Cost
1,Professional,2018/12/5 上午8:00,2019/2/8 下午4:00,6 月 2 天 6 小时,3 月 1 周 3 天 5 小时,54%,￥49.50,,,,,,2018/12/5 上午8:00,,,,,￥639.00,￥688.50
1.1,AI Application,2018/12/5 上午8:00,2019/2/8 下午4:00,6 月 2 天 6 小时,2 月 2 天 2 小时,44%,￥23.50,,,,,,2018/12/5 上午12:00,,,,,￥374.00,￥397.50
1.1.1,Anti-fraud,2018/12/5 上午8:00,2019/2/8 下午4:00,6 月 2 天 6 小时,1 月 2 周 4 天 2 小时,45%,￥19.50,,,,,,2018/12/5 上午8:00,,,,,￥302.00,￥321.50
1.1.1.1,人机识别应用开发,2018/12/6 上午9:00,2019/2/8 下午4:00,6 月 6 小时,3 周 4 天,5%,￥13.00,,,,,,2018/12/5 上午12:00,,,,,￥166.00,￥179.00
1.1.1.1.1,人机识别算法模型开发,2018/12/6 上午9:00,2019/2/8 下午4:00,6 月 6 小时,3 周 4 天,5%,￥13.00,,,,,,,,,,,￥166.00,￥179.00
1.1.1.1.1.1,人机数据治理到对应库／文件,2018/12/6 上午9:00,2018/12/6 下午7:00,1 天 1 小时,1 天,100%,￥1.00,Work,,,,,2018/12/6 上午7:00,,,,0,￥9.00,￥10.00
1.1.1.1.1.2,完成人机数据治理,2018/12/6 下午7:00,2018/12/6 下午7:00,,,100%,,Work,,,,,2018/12/6 上午7:00,,1.1.1.1.1.1,,,￥1.00,￥1.00
1.1.1.1.1.3,人机完成全流程框架图的输出及对应功能的输出,2019/1/21 上午10:00,2019/1/22 下午6:00,2 天 6 小时,2 天,0%,￥1.00,Work,,,,,2019/1/21 上午10:00,,1.1.1.1.1.2,,0,￥17.00,￥18.00
1.1.1.1.1.4,人机设计资料输出,2019/1/22 下午6:00,2019/1/22 下午6:00,,,0%,￥1.00,Work,,,,,2018/12/6 上午7:00,,1.1.1.1.1.3,,,￥1.00,￥2.00
1.1.1.1.1.5,人机完成现有特征库的封装,2019/1/22 下午6:00,2019/1/25 下午8:00,1 周 7 小时,4 天,0%,￥1.00,Work,,,,,2018/12/6 上午7:00,,1.1.1.1.1.4,,0,￥33.00,￥34.00
1.1.1.1.1.6,人机特征库开发封装完成,2019/1/25 下午8:00,2019/1/25 下午8:00,,,0%,￥1.00,Work,,,,,2018/12/6 上午7:00,,1.1.1.1.1.5,,,￥1.00,￥2.00
1.1.1.1.1.7,人机完成现有模型库封装,2019/1/25 下午8:00,2019/1/31 上午10:00,2 周 1 小时,4 天,0%,￥1.00,Work,,,,,2018/12/6 上午7:00,,1.1.1.1.1.6,,0,￥33.00,￥34.00
1.1.1.1.1.8,人机模型库开发封装完成,2019/1/31 上午10:00,2019/1/31 上午10:00,,,0%,￥1.00,Work,,,,,2018/12/6 上午7:00,,1.1.1.1.1.7,,,￥1.00,￥2.00
1.1.1.1.1.9,人机完成可视化与打标web前后端,2019/1/31 上午10:00,2019/2/4 下午4:00,1 周 3 天 1 小时,3 天,0%,￥1.00,Work,,,,,2018/12/6 上午7:00,,1.1.1.1.1.8,,0,￥25.00,￥26.00
1.1.1.1.1.10,人机可视化开发完成,2019/2/4 下午4:00,2019/2/4 下午4:00,,,0%,￥1.00,Work,,,,,2018/12/6 上午7:00,,1.1.1.1.1.9,,,￥1.00,￥2.00
1.1.1.1.1.11,人机全流程，全功能调试通,2019/2/4 下午4:00,2019/2/6 上午10:00,3 天 1 小时,2 天,0%,￥1.00,Work,,,,,2018/12/6 上午7:00,,1.1.1.1.1.10,,0,￥17.00,￥18.00
1.1.1.1.1.12,人机全流程调试通,2019/2/6 上午10:00,2019/2/6 上午10:00,,,0%,￥1.00,Work,,,,,2018/12/6 上午7:00,,1.1.1.1.1.11,,,￥1.00,￥2.00
1.1.1.1.1.13,完成打包封装@人机,2019/2/6 上午10:00,2019/2/8 下午4:00,4 天 3 小时,3 天,0%,￥1.00,Work,,,,,2018/12/6 上午7:00,,1.1.1.1.1.12,,0,￥25.00,￥26.00
1.1.1.1.1.14,打包封装完成@人机,2019/2/8 下午4:00,2019/2/8 下午4:00,,,0%,￥1.00,Work,,,,,2018/12/6 上午7:00,,1.1.1.1.1.13,,,￥1.00,￥2.00
1.1.1.2,行为识别研究开发 ,2018/12/5 上午9:00,2018/12/14 下午9:00,3 周 3 天 2 小时,2 周,100%,￥1.00,,,,,,,,,,,￥82.00,￥83.00
1.1.1.2.1,反欺诈体系的思路梳理,2018/12/5 上午9:00,2018/12/14 下午9:00,3 周 3 天 2 小时,2 周,100%,￥1.00,Work,,,,,2018/12/5 上午7:00,,,,0,￥81.00,￥82.00
1.1.1.2.2,完成反欺诈体系的思路梳理成文稿,2018/12/14 下午9:00,2018/12/14 下午9:00,,,100%,,Work,,,,,2018/12/7 下午2:30,,1.1.1.2.1,,,￥1.00,￥1.00
1.1.1.3,反欺诈业务和技术研究与跟踪,2018/12/5 上午8:00,2019/1/15 下午5:00,3 月 3 周 2 天 7 小时,1 周 2 小时,81%,￥5.50,,,,,,,,,,,￥54.00,￥59.50
1.1.1.3.1,业务方向,2018/12/5 上午9:00,2018/12/13 上午10:00,3 周 1 小时,3 天 2 小时,100%,￥3.50,,,,,,,,,,,￥34.00,￥37.50
1.1.1.3.1.1,Fintec金融反欺诈材料分析,2018/12/5 上午9:00,2018/12/5 下午7:00,1 天 1 小时,1 天,100%,￥1.00,Work,,,,,2018/12/5 上午7:00,,,,0,￥9.00,￥10.00
