,Time,Xpath_id,event_type,control_type,op_x,op_y
0,1522398651730,1,2,2,180.0,221.0
1,1522398651732,1,3,2,180.0,221.0
2,1522398651943,1,4,2,,
3,1522398652049,1,5,2,,
4,1522398652157,1,4,2,,
5,1522398652267,1,5,2,,
6,1522398652373,1,4,2,,
7,1522398652482,1,5,2,,
8,1522398652589,1,4,2,,
9,1522398652695,1,5,2,,
10,1522398652801,1,4,2,,
11,1522398652905,1,5,2,,
12,1522398653033,2,2,2,180.0,292.0
13,1522398653035,2,3,2,180.0,292.0
14,1522398653052,2,4,2,,
15,1522398653172,2,5,2,,
16,1522398653278,2,4,2,,
17,1522398653386,2,5,2,,
18,1522398653491,2,4,2,,
19,1522398653601,2,5,2,,
20,1522398653706,2,4,2,,
21,1522398653814,2,5,2,,
22,1522398653922,2,4,2,,
23,1522398654030,2,5,2,,
24,1522398654136,2,4,2,,
25,1522398654241,2,5,2,,
26,1522398654345,2,4,2,,
27,1522398654451,2,5,2,,
28,1522398654558,2,4,2,,
29,1522398654666,2,5,2,,
30,1522398654773,2,4,2,,
31,1522398654876,2,5,2,,
32,1522398654982,2,4,2,,
33,1522398655089,2,5,2,,
34,1522398655196,2,4,2,,
35,1522398655305,2,5,2,,
36,1522398655409,2,4,2,,
37,1522398655515,2,5,2,,
38,1522398655639,3,2,7,180.0,390.0
39,1522398655641,3,3,7,180.0,390.0
