,Time,Xpath_id,event_type,control_type,op_x,op_y
0,1522399012359,1,2,2,180.0,221.0
1,1522399012361,1,3,2,180.0,221.0
2,1522399012575,1,4,2,,
3,1522399012683,1,5,2,,
4,1522399012789,1,4,2,,
5,1522399012897,1,5,2,,
6,1522399013003,1,4,2,,
7,1522399013110,1,5,2,,
8,1522399013216,1,4,2,,
9,1522399013324,1,5,2,,
10,1522399013430,1,4,2,,
11,1522399013540,1,5,2,,
12,1522399013876,2,2,2,180.0,292.0
13,1522399013878,2,3,2,180.0,292.0
14,1522399013895,2,4,2,,
15,1522399014000,2,5,2,,
16,1522399014105,2,4,2,,
17,1522399014213,2,5,2,,
18,1522399014319,2,4,2,,
19,1522399014426,2,5,2,,
20,1522399014533,2,4,2,,
21,1522399014639,2,5,2,,
22,1522399014745,2,4,2,,
23,1522399014853,2,5,2,,
24,1522399014958,2,4,2,,
25,1522399015066,2,5,2,,
26,1522399015172,2,4,2,,
27,1522399015278,2,5,2,,
28,1522399015385,2,4,2,,
29,1522399015491,2,5,2,,
30,1522399015598,2,4,2,,
31,1522399015705,2,5,2,,
32,1522399015812,2,4,2,,
33,1522399015920,2,5,2,,
34,1522399016026,2,4,2,,
35,1522399016133,2,5,2,,
36,1522399016467,3,2,2,180.0,363.0
37,1522399016468,3,3,2,180.0,363.0
38,1522399016486,3,4,2,,
39,1522399016593,3,5,2,,
40,1522399016697,3,4,2,,
41,1522399016804,3,5,2,,
42,1522399016908,3,4,2,,
43,1522399017014,3,5,2,,
44,1522399017120,3,4,2,,
45,1522399017228,3,5,2,,
46,1522399017333,3,4,2,,
47,1522399017440,3,5,2,,
48,1522399017545,3,4,2,,
49,1522399017653,3,5,2,,
50,1522399017760,3,4,2,,
51,1522399017866,3,5,2,,
52,1522399017972,3,4,2,,
53,1522399018079,3,5,2,,
54,1522399018184,3,4,2,,
55,1522399018291,3,5,2,,
56,1522399018397,3,4,2,,
57,1522399018503,3,5,2,,
58,1522399018610,3,4,2,,
59,1522399018718,3,5,2,,
60,1522399018822,3,4,2,,
61,1522399018929,3,5,2,,
62,1522399019257,4,2,2,180.0,434.0
63,1522399019258,4,3,2,180.0,434.0
64,1522399019281,4,4,2,,
65,1522399019389,4,5,2,,
66,1522399019491,4,4,2,,
67,1522399019597,4,5,2,,
68,1522399019701,4,4,2,,
69,1522399019805,4,5,2,,
70,1522399019910,4,4,2,,
71,1522399020018,4,5,2,,
72,1522399020124,4,4,2,,
73,1522399020231,4,5,2,,
74,1522399020338,4,4,2,,
75,1522399020450,4,5,2,,
76,1522399020556,4,4,2,,
77,1522399020663,4,5,2,,
78,1522399020769,4,4,2,,
79,1522399020877,4,5,2,,
80,1522399020981,4,4,2,,
81,1522399021088,4,5,2,,
82,1522399021194,4,4,2,,
83,1522399021301,4,5,2,,
84,1522399021407,4,4,2,,
85,1522399021515,4,5,2,,
86,1522399021622,4,4,2,,
87,1522399021728,4,5,2,,
88,1522399022047,5,2,2,76.0,473.0
89,1522399022048,5,3,2,76.0,473.0
90,1522399022097,6,2,7,180.0,565.0
91,1522399022099,6,3,7,180.0,565.0
