,Time,Xpath_id,event_type,control_type,op_x,op_y
0,1522153753255,1,2,2,94.0,205.0
1,1522153753339,1,3,2,94.0,205.0
2,1522153753443,1,4,2,,
3,1522153753525,1,4,2,,
4,1522153753580,1,5,2,,
5,1522153753596,1,4,2,,
6,1522153753635,1,5,2,,
7,1522153753683,1,5,2,,
8,1522153753750,1,4,2,,
9,1522153753758,1,4,2,,
10,1522153753855,1,4,2,,
11,1522153753859,1,5,2,,
12,1522153753885,2,2,7,83.0,165.0
13,1522153753890,1,5,2,,
14,1522153753939,1,5,2,,
15,1522153753984,2,1,7,83.0,154.0
16,1522153754001,2,1,7,84.0,156.0
17,1522153754122,2,1,7,83.0,156.0
18,1522153754122,2,3,7,83.0,156.0
19,1522153754410,3,2,2,98.0,262.0
20,1522153754449,3,1,2,102.0,273.0
21,1522153754467,3,1,2,104.0,270.0
22,1522153754583,3,1,2,119.0,285.0
23,1522153754599,3,1,2,120.0,289.0
24,1522153754616,3,1,2,120.0,290.0
25,1522153754633,3,1,2,120.0,290.0
26,1522153754665,3,3,2,120.0,290.0
27,1522153754976,3,2,2,128.0,275.0
28,1522153755077,3,3,2,128.0,275.0
29,1522153755142,3,4,2,,
30,1522153755197,3,4,2,,
31,1522153755290,3,5,2,,
32,1522153755301,3,4,2,,
33,1522153755347,3,5,2,,
34,1522153755379,3,5,2,,
35,1522153755573,4,2,2,153.0,365.0
36,1522153755643,4,1,2,153.0,355.0
37,1522153755667,4,1,2,153.0,357.0
38,1522153755867,4,1,2,153.0,356.0
39,1522153755900,4,3,2,153.0,356.0
40,1522153756070,4,2,2,146.0,344.0
41,1522153756177,4,3,2,145.0,347.0
42,1522153757007,5,2,7,184.0,619.0
43,1522153757086,5,3,7,184.0,619.0
