,Time,Xpath_id,event_type,control_type
0,1522313847229,1,4,2
1,1522313847232,1,4,2
2,1522313847245,1,4,2
3,1522313847356,1,5,2
4,1522313847358,1,4,2
5,1522313847359,1,5,2
6,1522313847380,1,5,2
7,1522313847468,1,5,2
8,1522313847517,2,4,2
9,1522313847572,2,5,2
10,1522313847574,2,4,2
11,1522313847684,2,5,2
12,1522313847701,2,4,2
13,1522313847767,2,4,2
14,1522313847796,2,5,2
15,1522313847899,3,5,2
16,1522313848092,3,4,2
17,1522313848117,3,4,2
18,1522313848172,3,4,2
19,1522313848172,3,5,2
20,1522313848228,3,5,2
21,1522313848300,3,4,2
22,1522313848323,3,5,2
23,1522313848396,3,4,2
24,1522313848423,3,5,2
25,1522313848468,4,4,2
26,1522313848508,4,5,2
27,1522313848524,4,5,2
28,1522313848605,4,4,2
29,1522313848606,4,4,2
30,1522313848638,4,4,2
31,1522313848659,4,4,2
32,1522313848684,4,5,2
33,1522313848684,4,5,2
34,1522313848724,4,5,2
35,1522313848779,4,5,2
