,Time,Xpath_id,event_type,control_type
0,1522830818972,1,4,2
1,1522830819151,1,4,2
2,1522830819179,1,5,2
3,1522830819326,1,4,2
4,1522830819353,1,5,2
5,1522830819395,1,4,2
6,1522830819437,1,5,2
7,1522830819519,1,4,2
8,1522830819613,1,5,2
9,1522830819681,1,5,2
10,1522830820246,2,4,2
11,1522830820429,2,5,2
12,1522830820434,2,4,2
13,1522830820603,2,4,2
14,1522830820645,2,5,2
15,1522830820779,2,4,2
16,1522830820809,2,5,2
17,1522830820943,2,4,2
18,1522830821005,2,5,2
19,1522830821071,2,4,2
20,1522830821136,2,5,2
21,1522830821220,2,4,2
22,1522830821281,2,5,2
23,1522830821352,2,5,2
24,1522830821486,2,4,2
25,1522830821708,2,5,2
26,1522830821718,2,4,2
27,1522830821810,2,4,2
28,1522830821843,2,5,2
29,1522830821968,2,5,2
30,1522830821991,2,4,2
31,1522830822082,2,4,2
32,1522830822160,2,5,2
33,1522830822179,2,5,2
34,1522830822196,2,4,2
35,1522830822265,2,5,2
