,Time,Xpath_id,event_type,control_type,op_x,op_y
0,1522830938175,1,2,2,222.0,217.0
1,1522830938220,1,3,2,222.0,217.0
2,1522830939042,1,4,2,,
3,1522830939067,1,5,2,,
4,1522830939186,1,4,2,,
5,1522830939200,1,5,2,,
6,1522830939386,1,4,2,,
7,1522830939399,1,5,2,,
8,1522830939519,1,4,2,,
9,1522830939530,1,5,2,,
10,1522830940106,1,4,2,,
11,1522830940127,1,5,2,,
12,1522830940304,1,4,2,,
13,1522830940318,1,5,2,,
14,1522830940387,1,4,2,,
15,1522830940395,1,5,2,,
16,1522830942145,2,2,2,244.0,278.0
17,1522830942176,2,3,2,244.0,278.0
18,1522830943704,2,4,2,,
19,1522830943735,2,5,2,,
20,1522830943888,2,4,2,,
21,1522830943909,2,5,2,,
22,1522830944019,2,4,2,,
23,1522830944046,2,5,2,,
24,1522830944121,2,4,2,,
25,1522830944136,2,5,2,,
26,1522830945738,2,4,2,,
27,1522830945758,2,5,2,,
28,1522830945976,2,4,2,,
29,1522830946003,2,5,2,,
30,1522830946123,2,4,2,,
31,1522830946148,2,5,2,,
32,1522830946326,2,4,2,,
33,1522830946350,2,5,2,,
34,1522830946558,2,4,2,,
35,1522830946581,2,5,2,,
36,1522830946708,2,4,2,,
37,1522830946731,2,5,2,,
38,1522830948998,3,2,7,276.0,381.0
39,1522830949040,3,3,7,276.0,381.0
