,Time,Xpath_id,event_type,control_type,op_x,op_y
0,1522832104889,1,2,7,62,453
1,1522832104937,1,1,7,61,443
2,1522832105208,1,3,7,52,425
3,1522832105568,4,2,2,281,225
4,1522832105621,4,3,2,281,225
5,1522832106733,4,2,2,291,214
6,1522832106772,4,3,2,291,214
7,1522832107783,5,2,2,285,270
8,1522832107794,5,1,2,284,264
9,1522832108028,5,3,2,303,262
10,1522832108976,6,2,7,291,312
11,1522832108990,6,1,7,284,307
12,1522832109205,6,3,7,287,265
13,1522832109654,6,2,7,32,465
14,1522832109687,6,1,7,28,456
15,1522832110007,6,3,7,26,448
16,1522832110574,7,2,5,190,465
17,1522832110603,7,3,5,190,465
