,Time,Xpath_id,event_type,control_type,op_x,op_y
0,1522832018396,1,2,2,502.0,190.0
1,1522832018402,1,3,2,502.0,190.0
2,1522832019575,1,4,2,,
3,1522832019802,1,5,2,,
4,1522832020515,1,4,2,,
5,1522832020609,1,4,2,,
6,1522832020613,1,5,2,,
7,1522832020621,1,4,2,,
8,1522832020643,1,4,2,,
9,1522832020737,1,5,2,,
10,1522832020772,1,4,2,,
11,1522832020829,1,5,2,,
12,1522832020851,1,4,2,,
13,1522832020904,1,5,2,,
14,1522832021036,1,4,2,,
15,1522832021077,1,5,2,,
16,1522832021179,1,4,2,,
17,1522832021221,1,5,2,,
18,1522832021260,1,4,2,,
19,1522832021425,1,5,2,,
20,1522832021433,1,5,2,,
21,1522832021457,1,5,2,,
22,1522832021766,1,4,2,,
23,1522832022094,1,5,2,,
24,1522832023209,2,2,2,488.0,251.0
25,1522832023215,2,3,2,488.0,251.0
26,1522832023637,2,4,2,,
27,1522832023734,2,4,2,,
28,1522832023823,2,4,2,,
29,1522832023875,2,4,2,,
30,1522832023889,2,5,2,,
31,1522832023901,2,5,2,,
32,1522832024069,2,4,2,,
33,1522832024089,2,5,2,,
34,1522832024089,2,5,2,,
35,1522832024119,2,4,2,,
36,1522832024268,2,5,2,,
37,1522832024324,2,5,2,,
38,1522832025164,2,4,2,,
39,1522832025318,2,5,2,,
40,1522832026367,3,2,2,484.0,296.0
41,1522832026373,3,3,2,484.0,296.0
42,1522832026867,3,4,2,,
43,1522832027012,3,4,2,,
44,1522832027045,3,5,2,,
45,1522832027080,3,4,2,,
46,1522832027100,3,4,2,,
47,1522832027188,3,4,2,,
48,1522832027196,3,5,2,,
49,1522832027226,3,4,2,,
50,1522832027239,3,5,2,,
51,1522832027260,3,5,2,,
52,1522832027397,3,4,2,,
53,1522832027431,3,5,2,,
54,1522832027487,3,5,2,,
55,1522832027577,3,4,2,,
56,1522832027588,3,4,2,,
57,1522832027652,3,5,2,,
58,1522832027676,3,5,2,,
59,1522832027748,3,5,2,,
60,1522832030206,4,2,2,430.0,324.0
61,1522832030215,4,3,2,430.0,324.0
62,1522832030816,4,4,2,,
63,1522832030836,4,4,2,,
64,1522832030876,4,5,2,,
65,1522832030884,4,4,2,,
66,1522832030908,4,4,2,,
67,1522832030996,4,4,2,,
68,1522832030997,4,5,2,,
69,1522832031055,4,5,2,,
70,1522832031076,4,4,2,,
71,1522832031104,4,4,2,,
72,1522832031123,4,5,2,,
73,1522832031192,4,4,2,,
74,1522832031232,4,4,2,,
75,1522832031242,4,5,2,,
76,1522832031276,4,5,2,,
77,1522832031279,4,5,2,,
78,1522832031320,4,5,2,,
79,1522832031364,4,5,2,,
80,1522832032223,5,2,7,432.0,373.0
81,1522832032223,5,3,7,432.0,373.0
82,1522832032869,6,2,7,582.0,450.0
83,1522832032876,6,3,7,582.0,450.0
