,Time,Xpath_id,event_type,control_type
0,1522832590448,1,4,2
1,1522832590536,1,4,2
2,1522832590570,1,4,2
3,1522832590592,1,5,2
4,1522832590634,1,5,2
5,1522832590678,1,4,2
6,1522832590690,1,5,2
7,1522832590712,1,4,2
8,1522832590793,1,4,2
9,1522832590803,1,5,2
10,1522832590868,1,4,2
11,1522832590878,1,5,2
12,1522832590883,1,5,2
13,1522832590929,1,5,2
14,1522832591530,1,4,2
15,1522832591591,1,5,2
16,1522832593454,2,4,2
17,1522832593513,2,4,2
18,1522832593614,2,4,2
19,1522832593646,2,4,2
20,1522832593662,2,5,2
21,1522832593689,2,4,2
22,1522832593703,2,5,2
23,1522832593725,2,5,2
24,1522832593767,2,5,2
25,1522832593870,2,4,2
26,1522832593887,2,5,2
27,1522832593906,2,4,2
28,1522832593953,2,4,2
29,1522832594030,2,5,2
30,1522832594046,2,5,2
31,1522832594079,2,5,2
32,1522832595111,2,4,2
33,1522832595187,2,4,2
34,1522832595295,2,5,2
35,1522832595308,2,5,2
36,1522832600799,2,4,2
37,1522832600968,2,5,2
38,1522832602038,3,4,2
39,1522832602073,3,4,2
40,1522832602078,3,4,2
41,1522832602133,3,5,2
42,1522832602138,3,4,2
43,1522832602150,3,4,2
44,1522832602170,3,4,2
45,1522832602181,3,5,2
46,1522832602222,3,4,2
47,1522832602297,3,5,2
48,1522832602301,3,5,2
49,1522832602306,3,4,2
50,1522832602316,3,5,2
51,1522832602341,3,5,2
52,1522832602462,3,5,2
53,1522832602481,3,5,2
54,1522832603752,3,4,2
55,1522832603841,3,5,2
56,1522832603912,3,4,2
57,1522832604004,3,5,2
58,1522832604073,3,4,2
59,1522832604161,3,5,2
60,1522832604245,3,4,2
61,1522832604312,3,5,2
62,1522832604391,3,4,2
63,1522832604459,3,5,2
64,1522832604541,3,4,2
65,1522832604608,3,5,2
66,1522832604680,3,4,2
67,1522832604756,3,5,2
68,1522832604831,3,4,2
69,1522832604910,3,5,2
70,1522832605419,3,4,2
71,1522832605547,3,4,2
72,1522832605594,3,5,2
73,1522832605678,3,5,2
74,1522832606022,3,4,2
75,1522832606089,3,5,2
76,1522832607329,3,4,2
77,1522832607433,3,4,2
78,1522832607497,3,5,2
79,1522832607577,3,5,2
80,1522832609058,4,4,2
81,1522832609179,4,4,2
82,1522832609222,4,5,2
83,1522832609282,4,5,2
84,1522832609374,4,4,2
85,1522832609457,4,5,2
86,1522832609563,4,4,2
87,1522832609646,4,5,2
88,1522832609759,4,4,2
89,1522832609835,4,5,2
